org_id_a,org_id_b,name
GB-EDU-102601,GB-COH-07776910,SOUTHBOROUGH HIGH SCHOOL
GB-EDU-102602,GB-COH-07538459,THE TIFFIN GIRLS' SCHOOL
GB-EDU-102605,GB-COH-07547311,TIFFIN SCHOOL
GB-EDU-102606,GB-COH-07718002,RICHARD CHALLONER SCHOOL
GB-EDU-102607,GB-COH-07966826,THE HOLY CROSS SCHOOL
GB-EDU-102615,GB-COH-05325717,MARYMOUNT INTERNATIONAL SCHOOL
GB-EDU-102619,GB-COH-03883748,KINGSTON GRAMMAR SCHOOL
GB-EDU-102620,GB-COH-02516633,CANBURY SCHOOL LIMITED
GB-EDU-102866,GB-COH-00621311,WOODFORD GREEN PREPARATORY SCHOOL LIMITED
GB-EDU-102923,GB-COH-08165744,ORLEANS PARK SCHOOL
GB-EDU-102943,GB-COH-03475951,TWICKENHAM PREPARATORY SCHOOL
GB-EDU-102946,GB-COH-06264434,HAMPTON SCHOOL
GB-EDU-102998,GB-COH-07635432,CARSHALTON BOYS SPORTS COLLEGE
GB-EDU-103007,GB-COH-07536970,WILSON'S SCHOOL
GB-EDU-103012,GB-COH-07635448,WALLINGTON HIGH SCHOOL FOR GIRLS
GB-EDU-103019,GB-COH-02151420,SEATON HOUSE SCHOOL LIMITED
GB-EDU-103197,GB-COH-08055393,WARREN FARM PRIMARY SCHOOL
GB-EDU-103203,GB-COH-08146396,GREENHOLM PRIMARY SCHOOL
GB-EDU-103361,GB-COH-09108745,HILLSTONE PRIMARY SCHOOL
GB-EDU-103376,GB-COH-08601624,TWICKENHAM PRIMARY SCHOOL
GB-EDU-103378,GB-COH-09333191,GREEN MEADOW PRIMARY SCHOOL
GB-EDU-103517,GB-COH-07698296,HOLYHEAD SCHOOL
GB-EDU-103520,GB-COH-08496504,YARDLEYS SCHOOL
GB-EDU-103535,GB-COH-07986921,BISHOP VESEY'S GRAMMAR SCHOOL
GB-EDU-103575,GB-COH-00634981,WEST HOUSE SCHOOL
GB-EDU-103580,GB-COH-08502615,THE BLUE COAT SCHOOL BIRMINGHAM LIMITED
GB-EDU-103876,GB-COH-01141571,ELMFIELD RUDOLF STEINER SCHOOL LIMITED
GB-EDU-104113,GB-COH-07687663,LODE HEATH SCHOOL
GB-EDU-104115,GB-COH-07654164,HEART OF ENGLAND SCHOOL
GB-EDU-104124,GB-COH-06337650,SOLIHULL SCHOOL
GB-EDU-104386,GB-COH-09527057,HIGHFIELDS SCHOOL
GB-EDU-104402,GB-COH-08918836,WOLVERHAMPTON GIRLS' HIGH SCHOOL
GB-EDU-104411,GB-COH-06610261,WOLVERHAMPTON GRAMMAR SCHOOL LIMITED
GB-EDU-104718,GB-COH-08137421,ST FRANCIS XAVIER'S COLLEGE
GB-EDU-104723,GB-COH-01260765,CARLETON HOUSE PREPARATORY SCHOOL LIMITED
GB-EDU-104949,GB-COH-07724342,FORMBY HIGH SCHOOL
GB-EDU-104952,GB-COH-07761675,CHESTERFIELD HIGH SCHOOL
GB-EDU-104953,GB-COH-07770687,RANGE HIGH SCHOOL
GB-EDU-104954,GB-COH-07695504,BIRKDALE HIGH SCHOOL
GB-EDU-105093,GB-COH-07672980,PRENTON HIGH SCHOOL FOR GIRLS
GB-EDU-105098,GB-COH-07695736,WIRRAL GRAMMAR SCHOOL FOR GIRLS
GB-EDU-105099,GB-COH-07697158,WEST KIRBY GRAMMAR SCHOOL
GB-EDU-105104,GB-COH-07652792,THE OLDERSHAW SCHOOL
GB-EDU-105112,GB-COH-08332696,CALDAY GRANGE GRAMMAR SCHOOL
GB-EDU-105113,GB-COH-07734231,WIRRAL GRAMMAR SCHOOL FOR BOYS
GB-EDU-105115,GB-COH-07952451,UPTON HALL SCHOOL FCJ
GB-EDU-105123,GB-COH-04492250,BIRKENHEAD SCHOOL
GB-EDU-105135,GB-COH-05210075,ST PAUL'S ACADEMY
GB-EDU-105137,GB-COH-00200018,WEST KIRBY RESIDENTIAL SCHOOL
GB-EDU-105177,GB-COH-07986805,EAGLEY INFANT SCHOOL
GB-EDU-105188,GB-COH-07986218,EAGLEY JUNIOR SCHOOL
GB-EDU-105280,GB-COH-02978546,BIRTENSHAW
GB-EDU-105369,GB-COH-01433487,BURY CATHOLIC PREPARATORY SCHOOL LIMITED
GB-EDU-105482,GB-COH-08403949,WEBSTER PRIMARY SCHOOL
GB-EDU-105583,GB-COH-07716057,THE KING DAVID HIGH SCHOOL
GB-EDU-105592,GB-COH-09665070,MANCHESTER HIGH SCHOOL FOR GIRLS
GB-EDU-105595,GB-COH-09083954,WITHINGTON GIRLS' SCHOOL
GB-EDU-105923,GB-COH-07717482,BROADOAK PRIMARY SCHOOL
GB-EDU-105992,GB-COH-05190072,BRIDGEWATER SCHOOL
GB-EDU-105996,GB-COH-07049059,BNOS YISROEL SCHOOL MANCHESTER
GB-EDU-106004,GB-COH-09858903,OHOLEI YOSEF YITZCHOK LUBAVITCH SCHOOLS
GB-EDU-106058,GB-COH-07737398,MELLOR PRIMARY SCHOOL
GB-EDU-106149,GB-COH-02986515,LADY BARN HOUSE SCHOOL LIMITED
GB-EDU-106156,GB-COH-06261525,STOCKPORT GRAMMAR SCHOOL
GB-EDU-106157,GB-COH-03823129,CHEADLE HULME SCHOOL
GB-EDU-106274,GB-COH-07697027,WEST HILL SCHOOL
GB-EDU-106275,GB-COH-07511610,FAIRFIELD HIGH SCHOOL FOR GIRLS
GB-EDU-106371,GB-COH-07538380,SALE GRAMMAR SCHOOL
GB-EDU-106373,GB-COH-07458631,WELLINGTON SCHOOL
GB-EDU-106378,GB-COH-08125396,LORETO GRAMMAR SCHOOL
GB-EDU-106527,GB-COH-07733109,FRED LONGWORTH HIGH SCHOOL
GB-EDU-106608,GB-COH-08431840,HEATHER GARTH PRIMARY SCHOOL
GB-EDU-106810,GB-COH-08936511,THE MCAULEY CATHOLIC HIGH SCHOOL
GB-EDU-106811,GB-COH-07547393,THE HAYFIELD SCHOOL
GB-EDU-106812,GB-COH-00908443,HILL HOUSE SCHOOL LIMITED
GB-EDU-106940,GB-COH-08543217,ST MARY'S CATHOLIC PRIMARY SCHOOL (MALTBY)
GB-EDU-107159,GB-COH-08098354,NOTRE DAME HIGH SCHOOL
GB-EDU-107160,GB-COH-08100620,ALL SAINTS' CATHOLIC HIGH SCHOOL
GB-EDU-107163,GB-COH-02792166,BIRKDALE SCHOOL
GB-EDU-107453,GB-COH-04030247,WESTVILLE HOUSE SCHOOL
GB-EDU-107454,GB-COH-07281806,BRADFORD GIRLS' GRAMMAR SCHOOL
GB-EDU-107562,GB-COH-09010317,THE CALDER LEARNING TRUST
GB-EDU-107583,GB-COH-05855479,RISHWORTH SCHOOL
GB-EDU-107585,GB-COH-14185708,HIPPERHOLME GRAMMAR SCHOOL LTD
GB-EDU-107632,GB-COH-07727564,LINDLEY JUNIOR SCHOOL
GB-EDU-107754,GB-COH-08164889,KING JAMES'S SCHOOL
GB-EDU-108092,GB-COH-07849654,HORSFORTH SCHOOL
GB-EDU-108102,GB-COH-00810136,MOORLANDS SCHOOL LIMITED
GB-EDU-108103,GB-COH-01270675,RICHMOND HOUSE SCHOOL
GB-EDU-108113,GB-COH-03075826,THE GRAMMAR SCHOOL AT LEEDS
GB-EDU-108300,GB-COH-10562182,ACKWORTH SCHOOL
GB-EDU-108544,GB-COH-01196898,NEWCASTLE SCHOOL FOR BOYS
GB-EDU-108933,GB-COH-07763421,HENLEAZE JUNIOR SCHOOL
GB-EDU-109149,GB-COH-08422944,STOKE BISHOP CHURCH OF ENGLAND PRIMARY SCHOOL
GB-EDU-109248,GB-COH-08278118,ST NICHOLAS OF TOLENTINE CATHOLIC PRIMARY SCHOOL
GB-EDU-109250,GB-COH-08135761,ST PATRICK'S CATHOLIC PRIMARY SCHOOL
GB-EDU-109289,GB-COH-07732888,COTHAM SCHOOL
GB-EDU-109326,GB-COH-07798550,ST BEDE'S CATHOLIC COLLEGE
GB-EDU-109333,GB-COH-07495165,OLDFIELD SCHOOL
GB-EDU-109357,GB-COH-00894685,TOCKINGTON MANOR SCHOOL LIMITED
GB-EDU-109362,GB-COH-02093340,SIDCOT SCHOOL
GB-EDU-109369,GB-COH-05142007,BRISTOL GRAMMAR SCHOOL
GB-EDU-109370,GB-COH-05164477,QUEEN ELIZABETH'S HOSPITAL
GB-EDU-109371,GB-COH-05165135,REDMAIDS' HIGH SCHOOL
GB-EDU-109496,GB-COH-08434113,PUTNOE PRIMARY SCHOOL
GB-EDU-109520,GB-COH-07851337,THE FIRS LOWER SCHOOL
GB-EDU-109643,GB-COH-07566436,REDBORNE UPPER SCHOOL AND COMMUNITY COLLEGE
GB-EDU-109680,GB-COH-07681848,ALAMEDA MIDDLE SCHOOL
GB-EDU-109711,GB-COH-07831395,ICKNIELD HIGH SCHOOL
GB-EDU-109717,GB-COH-12334380,BEDFORD GREENACRE INDEPENDENT SCHOOL LIMITED
GB-EDU-109747,GB-COH-08712137,OAK BANK SCHOOL
GB-EDU-110042,GB-COH-07494754,KENDRICK SCHOOL
GB-EDU-110044,GB-COH-07398941,HIGHDOWN SCHOOL AND SIXTH FORM CENTRE
GB-EDU-110046,GB-COH-08208767,CHARTERS SCHOOL
