"transferor_name","transferor_regno","transferor_subno","transferee_name","transferee_regno","transferee_subno","date_vesting_declaration","date_property_transferred","date_merger_registered"
"Derbyshire Dales Crossroads Caring for Carers","1098026",0,"East Midlands Crossroads - Caring for Carers","1051649",0,"","2007-11-22","2013-02-07"
"Derbyshire Leukaemia Research Fund","215399",0,"Bloodwise","216032",0,"","2017-06-30","2017-08-21"
"Derek Prince Ministries (UK)","327763",0,"Derek Prince Ministries (UK)","1123283",0,"2017-07-07","2017-07-07","2017-07-24"
"Derek Prince Ministries China","1010850",0,"Derek Prince Ministries (UK)","1123283",0,"2017-07-07","2017-07-07","2017-07-24"
"Dewsbury Evangelical Church","","","Dewsbury Evangelical Church","1147142",0,"2012-05-31","2012-05-31","2012-06-13"
"Dewsbury Gospel Church (unregistered unincorporated charity)","","","Dewsbury Gospel Church","1123715",0,"","2009-01-01","2009-01-29"
"Diabetes Research & Education Centre Trust","1000061",0,"Peninsula College of Medicine and Dentistry Foundation","1060423",0,"","2006-12-31","2013-01-24"
"DIAL House Chester","518908",0,"DIAL West Cheshire","1156120",0,"","2014-01-07","2014-03-07"
"Dial UK","1059530",0,"Scope","208231",0,"","2008-08-18","2008-08-26"
"Didsbury Civic Society","249975",0,"Didsbury Civic Society","1143533",0,"","2012-01-07","2012-11-21"
"Didsbury Community Association","515309",0,"Didsbury Community Association","1156857",0,"2014-01-10","2014-01-10","2016-10-06"
"Digestive Disorders Foundation","262762",0,"Digestive Disorders Foundation (CORE)","1137029",0,"2010-01-07","2010-01-07","2010-05-08"
"Digswell Place Group Riding For The Disabled Association","1074341",0,"Digswell Place Group Riding For The Disabled Association","1163233",0,"","2015-11-11","2015-12-11"
"Dinwiddy","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Disability Stockport","1006025",0,"Disability Stockport Limited","1133529",0,"","2011-08-24","2012-10-17"
"Disability Wessex","1095424",0,"Diverse Abilities Plus","282197",0,"","2010-11-30","2010-07-12"
"Doadpore Trust","289877",0,"Royal Artillery Charitable Fund","210202",0,"","2008-01-01","2008-01-01"
"Dolen Cymru - Wales Link","516493",0,"Dolen Cymru - Wales Lesotho Link","1143448",0,"","2011-10-31","2012-04-01"
"Dominican Missionary Sisters Of The Sacred Heart Of Jesus Charitable Trust","1114375",0,"Dominican Missionary Sisters Of The Sacred Heart Of Jesus CIO","1168379",0,"","2016-12-31","2018-01-19"
"Donnington Doorstep","294699",0,"Donnington Doorstep Family Centre","1144821",0,"2012-03-26","2012-01-04","2012-04-13"
"Dorcas Befriending Project","1150880",0,"Finsbury And Clerkenwell Volunteers","268511",0,"","2015-07-31","2015-04-08"
"Dorothea Trust","257952",0,"Pilgrim Homes (formerly Aged Pilgrims' Friend Society)","242266",0,"2008-01-11","2008-01-11","2008-04-12"
"Dorset And South Wiltshire Area Quaker Meeting","","","Dorset & South Wiltshire Area Quaker Meeting","1149956",0,"","2014-01-01","2015-01-22"
"Dorset Blind Association","213384",0,"Dorset Blind Association","1140321",0,"","2011-01-04","2011-09-30"
"Dorset Mental Health Forum","1073818",0,"Dorset Mental Health Forum","1169215",0,"","2017-03-31","2018-05-14"
"Douglas Bomford Trust","313449",0,"The Douglas Bomford Trust","1121785",0,"","2008-03-31","2008-04-28"
"Dover","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Dr H Marriott","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Dr Joseph G G Corkhill Fund","1125485","14","The Merchant Taylors' Schools Crosby","1125485",0,"","2009-04-29","2009-05-18"
"Draw A Smile","1136644",0,"Face for Children in Need","1129032",0,"","2013-02-04","2013-04-23"
"Dreamwall Limited","1117237",0,"Youth Options","1056463",0,"","2011-01-04","2013-02-09"
"Drill Hall, Sidmouth, Devon","245921",0,"Wessex Reserve Forces' and Cadets' Association","1148207",0,"","2013-01-25","2013-02-15"
"Duke Street Church Richmond (not registered)","","","Duke Street Church (Richmond-upon-Thames)","1134492",0,"","2010-12-31","2011-08-08"
"Dursley Cam & Wotton New Life Church","1050302",0,"One Church","1131467",0,"2013-08-31","2013-08-31","2013-11-22"
"Dyfed Victim Support Scheme","1015562",0,"Victim Support","298028",0,"","2008-04-28","2009-06-16"
"Dyslexia Teaching Centre Trust","290244",0,"The Dyslexia Teaching Centre","1167119",0,"2016-06-06","2016-06-06","2018-07-20"
"Dyson's Wood Autistic Trust","1018727",0,"The Disabilities Trust","800797",0,"","2005-05-31","2008-12-05"
"Ealing Borough Victim Support Scheme","288988",0,"Victim Support","298028",0,"","2008-04-28","2009-06-16"
"Early Rheumatoid Arthritis Study","1098821",0,"The Early Rheumatoid Arthritis Network","1102642",0,"2014-11-12","2014-11-12","2014-12-18"
"East Anglian Sailing Trust","1060465",0,"East Anglian Sailing Trust","1159243",0,"2015-01-03","2015-01-03","2015-03-17"
"East Devon Volunteer Support Agency","1070642",0,"East Devon Volunteer Support Agency","1134611",0,"","2010-01-04","2010-11-15"
"East Durham Community Network","1112579",0,"East Durham Community Development Trust","1117642",0,"","2007-01-22","2008-01-07"
"East European Literature Advisory Committee","327179",0,"The Langham Partnership (UK & Ireland)","1092233",0,"","2008-01-07","2009-08-26"
"East Herts Moral Welfare Fund fo Women and Girls","215442",0,"The St Albans Diocesan Board of Finance","248887",0,"","2011-09-30","2012-02-14"
"East Nottingham Women's Aid","1110212",0,"Women's Aid Advice Centre (Nottingham)","1094012",0,"2009-01-04","2009-01-04","2009-03-19"
"East Surrey Crossroads Care Attendant Scheme Limited","1102407",0,"Surrey Crossroads","1125048",0,"2009-01-23","2009-10-09","2010-01-21"
"Eastbourne School of English Limited","306381",0,"The English Language Centre Limited","281859",0,"","2011-11-30","2012-04-01"
"Eastbourne Young Men's Christian Association","297497",0,"Eastbourne and Wealden Young Men's Christian Association","1140381",0,"","2011-01-10","2013-08-21"
"Edale Mountain Rescue Team","512559",0,"Edale Mountain Rescue Team Limited","1138626",0,"","2011-01-01","2011-04-01"
"Eden Grove Sports and Social Club","1116269",0,"Eden Grove Sports Club","1131628",0,"","2009-12-08","2010-05-02"
"Edmonton District Scout Council","303644",0,"Enfield District Scout Council","303648",0,"","2008-03-18","2008-03-20"
"Edwin Robert Birch","245446",0,"The Charity Of James And Aholiab West, Edwin Robert Birch, And Others","245652",0,"","2016-09-20","2016-09-23"
"Eiriolaeth Ceredigion Advocacy","1104976",0,"Mental Health Advocacy Providers (MAP)","1068440",0,"","2014-01-04","2014-04-04"
"Elevation Networks Trust","1128228",0,"Elevation Networks Trust","1164482",0,"","2016-08-17","2017-03-31"
"Elimination Of Leukaemia Fund or ELF","282886",0,"The Elimination Of Leukaemia Ltd","1150414",0,"","2015-01-02","2015-04-21"
"Elizabeth Baxter Hostel","228198",0,"The Silver Lady Fund Incorporating The All Night Travelling Caf","245657",0,"2014-12-31","2014-12-31","2015-09-17"
"Ellershaw Memorial","210203","1","Royal Artillery Benevolent Fund","210202","19","","2008-01-01","2008-01-01"
"Elmbridge Crossroads/Caring for Carers","1100229",0,"Surrey Crossroads","1125048",0,"2009-01-23","2009-01-02","2010-01-21"
"Emily Bolitho Nurses' Home","208124",0,"Cornwall Community Foundation","1099977",0,"2013-08-30","2013-08-30","2013-09-27"
"Emmanuel Baptist Church (FIEC), Manstone Lane, Sidmouth","","","Emmanuel Baptist Church Sidmouth","1167687",0,"2016-09-30","2016-09-30","2017-02-16"
"Emmanuel Christian Fellowship Hartlepool Trust","1091665",0,"Elim Foursquare Gospel Alliance","251549",0,"2009-05-15","2009-05-17","2009-06-26"
"Emmanuel Church Oxford","1111585",0,"Emmanuel Church Oxford","1164734",0,"2016-06-26","2016-01-08","2016-03-08"
"Emmanuel Pentecostal Church","1054370",0,"Emmanuel Church Dartford","1141375",0,"","2011-06-30","2011-07-25"
"Empowering West Berkshire Limited","1142740",0,"Volunteer Centre West Berkshire","1156302",0,"2016-07-10","2017-03-05","2017-05-17"
"End Child Poverty","1099008",0,"Child Poverty Action Group","294841",0,"","2010-05-26","2010-08-19"
"Enfield Mental Health Careers","1094044",0,"Enfield Carers Centre","1140089",0,"","2013-01-04","2013-01-07"
"Enfield Victim Support Scheme","291162",0,"Victim Support","298028",0,"","2008-05-28","2009-06-16"
"Enfield Women's Aid Ltd","1094632",0,"Solace Women's Aid","1082450",0,"","2007-01-06","2008-12-19"
"Ensbury Park Community Association","1041012",0,"Ensbury Park Community Association","1168501",0,"2016-01-10","2016-01-10","2016-07-10"
"Environmental Investigation Agency Charitable Trust","1040615",0,"Environmental Investigation Agency Trust Ltd","1145359",0,"2013-03-31","2013-03-31","2013-05-04"
"Epping Citizens Advice Bureau","260549",0,"Loughton & District Citizens Advice Bureau","1118465",0,"","2008-01-10","2008-10-30"
"Epping Forest Youth for Christ","1057690",0,"Epping Forest Youth for Christ","1115143",0,"","2010-01-10","2011-07-09"
"Eric Brock Memorial Prize Fund","1125485","5","The Merchant Taylors' Schools Crosby","1125485",0,"","2009-04-29","2009-05-18"
"Esther Dudding for the Poor","233284",0,"The Stallibrass Almshouse","233285",0,"","2013-05-22","2013-05-22"
"European Business School Educational Trust Ltd","1034421",0,"Regent's College","291583",0,"","2005-01-31","2008-05-27"
"European Consortium For Political Research","299615",0,"European Consortium For Political Research","1167403",0,"2016-01-10","2016-01-10","2017-04-11"
"Eurovangelism","247788",0,"Eurovangelism Limited","1140592",0,"","2011-03-31","2012-04-01"
"Everyday Champions Centre","1052628",0,"Everyday Champions Centre","1119240",0,"","2007-07-11","2009-01-13"
"Exeter Royal Academy for Deaf Education","1090056",0,"Exeter Royal Academy for Deaf Education","1124523",0,"","2008-08-31","2008-08-09"
"Exeter School General Charitable Trust","306725",0,"Exeter School","1093080",0,"","2008-07-30","2008-08-18"
"Exeter-Ethiopia Link","1000293",0,"Exeter-Ethiopia Link","1154085",0,"","2014-12-31","2015-05-01"
"Exmouth Citizens Advice Bureau ( 1105465)","","","Citizens Advice Service East Devon","1115963",0,"","2008-03-31","2008-06-24"
"Eye And District Volunteer Centre","1025711",0,"Eye And District Volunteer Centre CIO","1156968",0,"2014-12-07","2014-09-15","2014-09-16"
"F W Scott","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"F Windle For The Poor Of Abbey Church","","","The Eleemosynary Charity Of Medley, Sterne And Woodhouse","209955",0,"","2011-11-26","2012-06-13"
"Faculty of Occupational Medicine","1035415",0,"Faculty of Occupational Medicine","1139516",0,"","2011-01-01","2011-03-14"
"Fair Acres Charitable Trust","291863",0,"Central Hardship and Relief Trust (CHART)","801465",0,"","2009-05-29","2009-05-29"
"Fair Trials Abroad Trust","1079079",0,"Fair Trials International","1134586",0,"","2010-01-04","2010-05-18"
"Fairfield Millennium Green and Community Orchard Trust","1079314",0,"The Fairfield Association","1058030",0,"","2008-08-29","2008-08-29"
"Fairford and District Physiotherapy Fund","262961",0,"The League of Friends of the Fairford Hospital","1006416",0,"","2001-10-08","2008-06-02"
"Falmouth Ex-Services Trust","1162582",0,"Falmouth Ex-Services CIO","1162784",0,"","2016-02-25","2016-01-03"
"Family Friends For Fives To Elevens","1067211",0,"Family Friends For Fives To Elevens (1160655","","","","2015-03-31","2017-11-01"
"Family Help (Darlington)","506051",0,"Family Help Darlington CIO","1150798",0,"","2013-03-31","2013-03-12"
"Family Lives","1077722",0,"Bullying UK","1120107",0,"2011-08-23","2010-04-11","2011-08-23"
"Fareham and Gosport Mind Limited","1111818",0,"Solent Mind","1081116",0,"","2014-01-04","2014-03-06"
"Favell Charity Trust","1023439",0,"Central Hardship and Relief Fund","801465",0,"","2009-09-30","2009-09-30"
"Faversham Community Gymnastics and Activity Centre","1090767",0,"Faversham Community Gymnastic and Activity Centre","1139679",0,"","2011-03-31","2011-03-06"
"Faversham Gospel Mission","","","Faversham Gospel Mission","1171357",0,"2017-11-07","2018-01-25","2018-04-14"
"Feltham Hill Trust","1023439",0,"Central Hardship and Relief Fund","801465",0,"","2009-09-30","2009-09-30"
"Fenland Mencap","243016",0,"Cambridgeshire Mencap Society","1030968",0,"2007-01-11","2008-01-11","2008-03-11"
"Fernheath Play Association","271322",0,"Fernheath Play","1148263",0,"2012-09-17","2012-01-10","2013-01-07"
"Fight For Sight 1972","263434",0,"Eye Research UK","1091829",0,"","2002-01-05","2008-11-13"
"Financial Skills Partnership","1140358",0,"JSSC","1107141",0,"","2013-01-04","2015-05-28"
"First Step Preschool","1022996",0,"First Step Pre School Limited","1142554",0,"","2011-06-23","2011-06-12"
"Five Towns Christian Fellowship Trust","1032613",0,"Five Towns Christian Fellowship","1152389",0,"","2013-09-30","2013-10-22"
"Fleet Hospital And Community Friends","261384",0,"Fleet Hospital And Community Friends","1169526",0,"2017-01-26","2017-01-31","2017-03-14"
"Folkestone Old People's Welfare Committee","211690",0,"Age UK Folkestone","1147752",0,"2013-02-09","2013-09-17","2013-11-10"
"Fordham Prize Fund","1125485","26","The Merchant Taylors' Schools Crosby","1125485",0,"","2009-04-29","2009-05-18"
"Foundation for Children with Leukaemia","298405","1","Children with Cancer UK","298405",0,"","2004-12-31","2007-12-20"
"France Mission","267979",0,"France Mission","1176433",0,"2018-05-15","2017-12-21","2018-07-14"
"Frederick Russell La Fargue Charity","257117",0,"Causeway Land Fund and Other Charities","256513",0,"","2012-01-27","2012-01-31"
"Free 2 Be Ministries International","1145009",0,"Free 2 Be Ministries International","1153932",0,"","2013-09-24","2014-07-25"
"Freshbrook Evangelical Church","1128374",0,"Freshbrook Church","1167735",0,"2016-07-19","2016-01-10","2016-10-31"
"Freshfield Service Limited","1013995",0,"Saint Petroc's Society","","","","2014-11-14","2015-11-19"
"Friends Hall Farm Street Trust","209818",0,"South Birmingham Friends Institute Trust","221748",0,"","2013-12-31","2014-05-23"
"Friends Of Benson Library","1147897",0,"Friends Of Benson Library","1176595",0,"2018-01-06","2018-01-06","2018-08-18"
"Friends of Bluebell Valley","1064737",0,"Friends of Weston Park School Association","1068400",0,"","2012-10-04","2012-04-13"
"Friends Of Church Of st Birinus","1070256",0,"Birmingham Diocesan Trust","234216",0,"","2014-03-30","2014-03-31"
"Friends Of Dorset County Hospital","283089",0,"Friends Of Dorset County Hospital","1139970",0,"","2012-01-01","2013-05-09"
"Friends of Felsted School Limited","325116",0,"Felsted School","310870",0,"","2010-11-05","2010-05-13"
"Friends of Fernwood Junior School","1046889",0,"Fernwood Junior School Childrens Account","1110407",0,"","2008-10-14","2010-10-19"
"Friends of Grange Junior School (Stratton St Margaret) ( 1038154)","","","Grange Infants School Parent Teacher Club","1039247",0,"","2012-01-12","2012-03-12"
"Friends of Samuel Johnson Birthplace","1072972",0,"The Johnson Society","1078243",0,"","2012-01-11","2012-01-11"
"Friends Of Smyrna Home","1069272",0,"Friends Of Smyrna Home","1150384",0,"","2013-01-04","2014-03-31"
"Friends Of The Ashmolean Museum","309178",0,"Ashmolean Fund of the University of Oxford Development Trust","","","","2016-12-12","2017-06-01"
"Friends Of The English Symphony Orchestra","1024824",0,"ESO (2006) Limited","1119621",0,"","2014-10-06","2014-11-06"
"Friends of the Royal Free Hospital","266632",0,"Royal Free Charity","1060924",0,"","2011-03-24","2011-03-31"
"Friends Of The Turner Sims","1049442",0,"University Of Southampton","","","2018-05-17","2018-05-06","2018-08-18"
"Friends Of The Weald And Downland Open Air Museum","288962",0,"Weald And Downland Open Air Museum Limited","306338",0,"","2014-12-31","2017-03-14"
"Friends Of Warham, Norfolk","1070764",0,"Reading Room","233576",0,"2016-01-07","2016-01-07","2016-11-07"
"Friends Therapeutic Community trust","245737",0,"Friends Therapeutic Community trust","1124673",0,"2011-03-31","2011-03-31","2011-04-28"
"Frimley Fuel Allotments","231036",0,"Frimley Fuel Allotments CIO","1161717",0,"2016-01-01","2016-01-01","2016-02-26"
"Fulford Pre School","1040544",0,"Fulford Pre School CIO","1171257",0,"","2018-03-13","2018-02-06"
"Full Circle - St Pauls Youth and Family Project","1000434",0,"Full Circle - St Pauls Youth and Family Project","1143529",0,"","2011-12-09","2012-01-27"
"Full Circle","1099533",0,"Full Circle","1167274",0,"2018-03-14","2018-01-04","2018-02-06"
"Fun For Young People","1124115",0,"YMCA Bedfordshire","801035",0,"","2015-01-06","2017-01-16"
"Furnes Mountain Rescue Team","515953",0,"The Duddon & Furness Mountain Rescue Team","1098201",0,"","2003-01-01","2011-06-20"
"Futurelab Education","1113051",0,"The National Foundation for Educational Research in England and Wales","313392",0,"","2012-03-30","2012-07-30"
"Fylde Counselling Service","1087029",0,"Fylde Coast YMCA","1074571",0,"","2010-10-31","2010-04-11"
"Gainsborough's House Society Development Trust","288530",0,"Gainsborough's House Society","214046",0,"2010-01-31","2010-01-29","2010-01-02"
"Gale Prize Fund","1125485","16","The Merchant Taylors' Schools Crosby","1125485",0,"","2009-04-29","2009-05-18"
"Games Fund","1125485","31","The Merchant Taylors' Schools Crosby","1125485",0,"","2009-04-29","2009-05-18"
"Garstang Mentally Handicapped Society","508069",0,"The Bowland Village Trust","702924",0,"","2010-12-30","2010-12-30"
"Gateshead Dispensary","231073",0,"Gateshead Dispensary Nursing Home (Craigielea) Limited","516997",0,"","2011-04-01","2011-01-18"
"Gateshead Dispensary Housing Association Limited","","","Gateshead Dispensary Nursing Home (Craigielea) Limited","516997",0,"","2010-07-16","2011-01-18"
"Gateway Action (York)","1120299",0,"Gateway (York) CIO","1165744",0,"","2016-03-31","2017-02-13"
"","","","Gateway (York) CIO","1165744",0,"","2016-03-31","2017-02-13"
"Gateway Church (York)","1066021",0,"Gateway (York) CIO","1165744",0,"","2016-05-16","2017-02-17"
"Gatton Park Education Trust Ltd","1063964",0,"The Gatton Trust Limited","1101467",0,"2009-03-25","2009-03-31","2009-07-20"
"General Infirmary Art in Healthcare","1075308","13","Leeds Teaching Hospitals Charitable Fund","1075308","3","","2012-01-04","2017-10-03"
"General Sir Robert Monsergh / Fairbairn / 7 Armed Div (unregistered)","","","Royal Artillery Charitable Fund","210202",0,"","2008-01-01","2008-01-01"
"George Rundell Trust","210202","7","Royal Artillery Benevolent Fund","210202","19","","2008-01-01","2008-01-01"
"German Industrial And Farm Colony (Or Libury Hall)","214272",0,"Libury Hall","1152655",0,"","2013-02-12","2014-07-02"
"Get Connected Helpline","1081840",0,"YouthNet UK","1048995",0,"","2015-12-31","2016-06-01"
"Get Hooked on Fishing Charitable Trust","1101901",0,"Get Hooked on Fishing","1132448",0,"2010-01-31","2010-01-31","2010-01-31"
"Gingerbread (An Association for One Parent Families) Ltd","282512",0,"National Council for One Parent Families","230750",0,"","2007-05-31","2008-02-04"
"Girl Norah","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Girl Norah","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Gissing Former County School","1047887",0,"The Heart of Gissing","1118587",0,"","2009-10-26","2009-10-26"
"Giving What We Can Trust","1155773",0,"Centre For Effective Altruism","1149828",0,"","2017-10-10","2017-11-13"
"Gladstone Mission Revival Church (unregistered)","","","All Nations Revival Church (Jeremiah Project)","1123225",0,"","2008-01-04","2008-09-12"
"Gladstone Mission Revival Church Trust Fund (unregistered)","","","All Nations Revival Church (Jeremiah Project)","1123225",0,"","2008-01-04","2008-09-12"
"Glastonbury Abbey Development Trust","297545",0,"Glastonbury Abbey","1129263",0,"","2012-11-13","2015-07-23"
"Glendale Church","900185",0,"Glendale Church","1174300",0,"","2017-12-31","2018-09-17"
"Glenridding Public Hall","1066544",0,"Glenridding Public Hall","1165670",0,"2016-03-31","2016-11-04","2016-04-20"
"Glyndebourne Arts Trust","208743",0,"Glyndebourne Productions Limited","243877",0,"","2014-12-31","2018-04-25"
"Gogarth Tuesday Group Riding For The Disabled Association -","1074182",0,"Aberconwy Riding For The Disabled Association -","1073672",0,"","2012-09-04","2012-03-05"
"Good Story","1151509",0,"New Deal Of The Mind","1134482",0,"2018-03-26","2018-03-26","2018-07-30"
"Grace Baptist Mission","263133",0,"Grace Baptist Mission CIO","1157506",0,"","2015-01-01","2016-07-10"
"Grace's Place Children's Hospice","1156172",0,"The Forget Me Not Children's Hospice","1110457",0,"","2017-06-07","2017-07-08"
"Grantham Initiative for Terminal Care Support","1002171",0,"Gifts Hospice","1115713",0,"","2008-01-02","2008-01-02"
"Gravesend Age Concern","246514",0,"Age UK North West Kent","1143905",0,"","2011-01-10","2012-12-13"
"Gravesend Sea School (Bottley)","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Greenbank Christian Centre","1086094",0,"Greenbank Community Church","1143124",0,"","2011-12-31","2012-03-28"
"Grimsby and Cleethorpes Free Church","513465",0,"The Vine Christian Fellowship (N E Lincs)","1052110",0,"","2009-10-30","2010-01-02"
"Groundwork Cheshire","514769",0,"Groundwork Cheshire Lancashire & Merseyside","514727",0,"","2015-03-31","2017-01-19"
"Groundwork Manchester","1046299",0,"Groundwork Manchester, Salford, Tameside and Trafford","1124508",0,"","2008-01-07","2008-07-17"
"Groundwork Tameside","1091448",0,"Groundwork Manchester, Salford, Tameside and Trafford","1124508",0,"","2008-01-07","2008-07-17"
"Group 64","306028",0,"Putney Arts Theatre","1157481",0,"2014-01-07","2014-01-07","2014-10-17"
"Grovelands Christian Fellowship Trust","1111132",0,"Reading Community Church","1132037",0,"","2014-01-01","2014-01-09"
"Guildford Aid in Sickness Fund","1078130",0,"Henry Smith's or Poyle Charity","1078131",0,"","2009-05-11","2010-03-26"
"Guildford and Waverley Crossroads Care","1069649",0,"Surrey Crossroads","1125048",0,"2009-01-23","2009-01-02","2010-01-21"
"Guildford YMCA Limited","295314",0,"YMCA Downslink Group","1079570",0,"","2016-11-06","2016-06-30"
"Gunnerside School Fund","1058518",0,"Reeth School Fund","1048198",0,"","2008-09-17","2011-06-13"
"Gwynn Jones Cancer Appeal","1112526",0,"Betsi Cadwaladr University Health Board Charity and Other Related Charities","1138976",0,"","2013-05-15","2013-05-20"
"H M Mauger Legacy","203196",0,"Jane Tanners Charity","203195",0,"","2011-07-04","2011-04-27"
"Hackney and City of London Victim Support Scheme","289948",0,"Victim Support","298028",0,"2008-01-03","2008-02-27","2009-06-16"
"Hackney Winter Night Shelter","1114307",0,"Hackney Doorways","1139183",0,"","2011-01-07","2012-12-04"
"Hafod Y Wern Playgroup","1133002",0,"Caia Park Partnership","1072393",0,"","","2015-11-24"
"Hambleton And Richmondshire Advocacy","1048994",0,"North Yorkshire Advocacy","1160069",0,"","2015-01-04","2016-11-01"
"Hambleton And Richmondshire Community Addiction Service","1124000",0,"Lifeline Project","515691",0,"2015-02-02","2015-10-02","2015-12-17"
"Hammersmith And Fulham Mencap","222942",0,"Hammersmith And Fulham Mencap","1150840",0,"","2013-01-04","2014-12-15"
"Hammersmith and Fulham Victim Suport Scheme","801310",0,"Victim Support","298028",0,"2008-01-04","2008-03-31","2009-06-16"
"Hammerson Home Charitable Trust Limited","286002",0,"Nightingale Hammerson","207316",0,"","2013-02-25","2013-03-05"
"Hanborough Welfare Trust","203933",0,"Eynsham And Long Hanborough Medical Care Group","1054256",0,"2018-11-07","2018-11-07","2018-09-22"
"Hanworth Poors Land And Coal Fund","208330",0,"The Charity Of The Reverend Dr James Burgess For Education","312328",0,"2017-10-07","2017-11-07","2017-07-28"
"Harpenden Methodist Circuit  & Hemel Hempstead & Berkhamsted Methodist Circuit","1135714",0,"The Methodist Circuit - Watford Cicuit","1135094",0,"2012-06-25","2012-01-09","2012-11-09"
"Harpole Free School Foundation","309834",0,"The Combined Harpole Charitable Trust","1157663",0,"2017-09-19","2017-01-01","2017-10-16"
"Harpole Charities","202568",0,"The Combined Harpole Charitable Trust","1157663",0,"2017-09-19","2017-01-01","2017-10-16"
"Harrison Trust","210202","14","Royal Artillery Benevolent Fund","210202","19","","2008-01-01","2008-01-01"
"Harrogate and Area Council for Voluntary Service","701266",0,"Harrogate and Area Council for voluntary Services Limited","1144758",0,"","2012-03-31","2012-04-13"
"Harrogate Emmaus Trust","519535",0,"Pilgrim Havens","1045920",0,"","2014-03-31","2014-10-12"
"Harrogate Hospital And Community Friends","252376",0,"Harrogate And District NHS Foundation Trust Charitable Fund","1050008",0,"2015-03-30","2015-03-30","2015-01-04"
"Harrow Victim Support","802973",0,"Victim Support","298028",0,"","2008-03-31","2009-06-16"
"Harry Sykes Memorial Trust","309096","11","Pangbourne College Limited","309096",0,"","2010-05-04","2010-09-04"
"Hartlepool & East Durham Alzheimer's Trust","1024946",0,"The Hospital of God at Greatham","1123540",0,"2008-06-16","2008-06-16","2008-10-20"
"Hastings","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Hatherlow House","1076142",0,"Methodist Homes for the Aged","1083995",0,"","2007-12-14","2008-01-24"
"Haven Church (formerly known as Mount Zion Evangelical Church)","","","Haven Church","1170060",0,"2016-07-12","2017-01-02","2017-05-26"
"Havering Victim Support Scheme","297563",0,"Victim Support","298028",0,"2008-01-03","2008-02-27","2009-06-16"
"Hayward House Cancer Care Trust","1014356",0,"Nottingham University Hospitals Charity And Other Related Charities","1059049",0,"2013-09-30","2013-09-30","2013-12-16"
"Hearing Concern","1094497",0,"Hearing Concern Link (Link, The British Centre for Deafened People)","264809",0,"","2008-01-10","2008-05-12"
"Hearing Link","264809",0,"Hearing Dogs For Deaf People","293358",0,"","2017-07-31","2017-12-14"
"Hearing Research Trust","326915",0,"The Royal National Institute for Deaf People","207720",0,"","2013-03-31","2013-03-06"
"Heart Of England NHS Foundation Trust General Charitable Fund","1052330",0,"University Hospitals Birmingham Charity","1165716",0,"","2017-01-04","2018-09-05"
"Heart Of England NHS Foundation Trust Charitable Fund","1052330","226","University Hospitals Birmingham Charity","1165716",0,"","2017-01-04","2018-09-05"
"Heart Of England NHS Foundation Trust Cancer Research, Diagnosis And Treatment","1052330","227","University Hospitals Birmingham Charity","1165716",0,"","2017-01-04","2018-09-05"
"Heart Of England NHS Foundation Trust Post Graduate Medical Charity","1052330","228","University Hospitals Birmingham Charity","1165716",0,"","2017-01-04","2018-09-05"
"Heart Of England NHS Foundation Trust Specialised Equipment Fund Charity","1052330","229","University Hospitals Birmingham Charity","1165716",0,"","2017-01-04","2018-09-05"
"Heart Of England NHS Foundation Trust Research Fund Charity","1052330","230","University Hospitals Birmingham Charity","1165716",0,"","2017-01-04","2018-09-05"
"Heart Of England NHS Foundation Trust Hollier Charity","1052330","231","University Hospitals Birmingham Charity","1165716",0,"","2017-01-04","2018-09-05"
"Heartbeat","511786",0,"Heatbeat Northwest Cardiac Care","1168850",0,"","2016-12-31","2017-02-27"
"Help a CFM Child","1120500",0,"Bauer Radio's Cash for Kids Charities","1122062",0,"","2010-03-31","2010-04-29"
"Help for Able Autistic Adults","1059793",0,"Hill Park Autistic Trust","1116469",0,"","2008-05-28","2008-06-30"
"Hemel Hospital Radio","803556",0,"Watford Hospitals Broadcasting Service","258851",0,"","2014-09-27","2014-07-10"
"Hempstead Recreation Ground","299112",0,"Hempstead Village Hall","301339",0,"","2010-01-12","2010-12-21"
"Henry Dixon's Foundation for Apprenticing","314292",0,"Drapers Charitable Fund","251403",0,"","2012-01-31","2012-01-31"
"Henry Foundation","1124501",0,"Henry","1132581",0,"2010-11-03","2010-11-03","2010-03-31"
"Hermitage Land or Highway Charity","501531",0,"Bunbury Parochial Charities","216368",0,"","2011-01-31","2011-02-02"
"Hertfordshire Medical and Pharmaceutical Museum","288890",0,"Hitchin Historical Society","280746",0,"2012-06-06","2012-06-06","2012-08-20"
"Hertfordshire Old People's Committee","273604",0,"The Provincial Grand Lodge of Hertfordshire Benevolent Fund","230714",0,"","2010-11-02","2010-02-03"
"Herts Aid","1024324",0,"Herts Aid","1130366",0,"","2010-03-31","2010-05-05"
