"transferor_name","transferor_regno","transferor_subno","transferee_name","transferee_regno","transferee_subno","date_vesting_declaration","date_property_transferred","date_merger_registered"
"Age Concern Haywards Heath and District Limited","1102672",0,"Age UK West Sussex","1086323",0,"","2010-03-31","2011-01-31"
"Age Concern Hereford City and Rural","702453",0,"Age Concern Hereford and Localities","1093512",0,"","2010-01-07","2011-08-25"
"Age Concern Lancashire -","504906",0,"Age UK Lancashire -","1142294",0,"","2011-01-04","2012-07-30"
"Age Concern Ledbury & District Limited","1123029",0,"Age Concern Hereford and Localities","1093512",0,"","2010-01-07","2011-08-25"
"Age Concern Lyminge","1128429",0,"Age Concern - Hythe","1125274",0,"","2011-03-31","2011-03-06"
"Age Concern Malvern and District","701470",0,"Age UK Malvern and District","1143090",0,"","2011-06-28","2012-05-29"
"Age Concern Montgomeryshire","1052983",0,"Age Concern Powys","1119814",0,"2011-01-07","2011-01-07","2015-03-20"
"Age Concern North Lincolnshire","256446",0,"Age UK North Lincolnshire Limited","1101646",0,"","2011-07-09","2012-04-24"
"Age Concern North West Leicestershire","512877",0,"Age Concern Leicester Shire & Rutland","250837",0,"","2006-01-11","2008-07-02"
"Age Concern Northwich","516824",0,"Age Concern Cheshire","1091608",0,"","1998-07-23","2008-06-03"
"Age Concern OPW known as Hythe in the County of Kent Old People's Welfare Committee","276314",0,"Age Concern - Hythe","1125274",0,"","2009-01-04","2011-09-06"
"Age Concern Perry Barr","1002477",0,"Age Concern Birmingham Ltd","1138240",0,"","2010-01-09","2013-06-08"
"Age Concern Powys","1119814",0,"Age Cymru","1128436",0,"2012-01-10","2012-01-10","2015-07-08"
"Age Concern Runnymede","800180",0,"Age Concern Runnymede","1123510",0,"","2008-09-30","2008-03-11"
"Age Concern Southend-On-Sea (Southend Old People's Welfare (","266853",0,"Age Concern Southend-On-Sea CIO","1160916",0,"","2015-05-15","2015-05-21"
"Age Concern Southport","224472",0,"Age Concern Liverpool","517902",0,"","2008-01-08","2008-03-09"
"Age Concern Stockport","516912",0,"Age Concern Stockport","1139547",0,"","2011-01-04","2011-11-04"
"Age Concern Tarporley","518833",0,"Age Concern Cheshire","1091608",0,"","2000-03-31","2008-06-03"
"Age Concern York","500792",0,"Age Concern York","1118346",0,"","2008-07-31","2008-11-09"
"Age Concern, Poole","286859",0,"Pramacare","801967",0,"","2016-09-06","2016-07-07"
"Age UK Boston And South Holland CIO","1166824",0,"Age UK Lincoln & Kesteven","1078539",0,"","2018-01-05","2018-05-07"
"Age UK Hyndburn","700277",0,"Age UK Lancashire","1142294",0,"","2013-06-30","2013-09-05"
"Age UK Leicester Shire and Rutland","250837",0,"Age UK Leicester Shire and Rutland Limited","1146649",0,"","2013-11-10","2013-10-14"
"Age UK North Yorkshire","1124567",0,"Age UK North Yorkshire & Darlington","1128377",0,"2017-02-08","2018-04-06","2018-06-08"
"Age UK Sittingbourne","282136",0,"Age UK","1128267",0,"","2014-03-31","2014-01-04"
"Age UK South Lakeland","508390",0,"Age UK South Lakeland","1141415",0,"","2011-01-04","2013-01-23"
"Agnes Jones Memorial Fund","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Agri-Farm Scholarships","1111072",0,"The Farmers' Company Charitable Fund","1111072",0,"2014-10-22","2014-10-22","2014-04-11"
"Airfields Of Britain Conservation Trust","1112829",0,"Airfields Of Britain Conservation Trust","1156877",0,"","2014-07-16","2014-06-10"
"Airmyn Playing Field Association","1003628",0,"Airmyn Memorial Hall","1002608",0,"","2012-08-24","2012-04-10"
"AKT Outpost","1059768",0,"The Albert Kennedy Trust","1093815",0,"","2013-04-30","2016-08-24"
"Alcohol Services For The Community","1080715",0,"Smart Criminal Justice Services","1069087",0,"","2016-04-14","2017-02-23"
