"reg_number","scale"
201117,Local
201119,Local
201123,Local
201124,Local
201125,Local
201127,National
201130,Local
201133,Local
201134,Local
201135,National
201138,Local
201139,Local
201140,Local
201141,Local
201145,Local
201146,Local
201147,Local
201148,Local
201149,Local
201150,Local
201152,Local
201153,Local
201156,Local
201157,Local
201158,Local
201160,Local
201161,Local
201165,Local
201169,Local
201170,Local
201171,Local
201172,Local
201174,Local
201182,Local
201183,Local
201184,Local
201191,Regional
201192,Local
201194,Local
201195,Local
201196,Local
201197,Local
201198,Local
201201,Regional
201208,Local
201212,Local
201214,Local
201215,Regional
201218,Local
201219,Local
201220,Local
201225,Local
201231,Local
201233,Local
201235,Local
201238,National
201239,Local
201240,Local
201245,National
201248,Local
201249,Local
201251,Local
201255,Local
201256,National and Overseas
201257,Local
201260,Local
201261,Local
201268,Local
201269,Local
201271,Local
201272,Local
201273,Local
201275,Local
201276,Local
201277,Regional
201278,Local
201279,Regional
201280,Local
201282,Local
201283,Local
201284,Local
201286,Local
201288,Local
201291,Regional
201295,Local
201297,Local
201298,Regional
201309,Local
201315,Local
201316,Local
201317,Local
201321,National and Overseas
201326,Local
201328,Local
201329,Local
201330,Local
201333,Local
201334,Local
201335,Local
201336,Local
201337,Local
201339,Local
201341,Local
201342,Local
201344,Local
201345,Local
201348,Local
201350,Local
201351,Local
201355,Local
201357,Local
201360,Local
201365,Local
201368,Local
201370,Local
201371,Local
201372,Local
201374,Local
201375,Local
201377,Local
201378,Local
201381,Local
201383,Local
201384,Local
201387,Local
201394,Local
201395,Local
201400,Local
201401,Local
201402,Local
201403,Local
201404,Local
201407,National
201408,Local
201411,Local
201413,Regional
201414,Local
201418,Local
201420,Local
201424,Local
201425,Local
201426,Local
201427,Local
201428,Local
201431,Local
201433,National
201436,Local
201437,Local
201438,Local
201439,Local
201441,Local
201443,Local
201444,Local
201445,Local
201448,Local
201449,Local
201450,Local
201451,Local
201456,Local
201460,Local
201461,Local
201463,Regional
201464,Local
201467,Local
201468,National
201469,Local
201470,Local
201472,Regional
201473,Regional
201476,Local
201478,Local
201481,Local
201482,Local
201483,Local
201486,Local
201487,Local
201491,Local
201494,Local
201495,Local
201496,Local
201500,Local
201501,Local
201502,Local
201504,Local
201505,Local
201507,Local
201508,Local
201510,Local
201511,Local
201515,National
201517,National
201518,Local
201521,Local
201522,Regional
201524,Local
201527,Local
201528,Local
201529,Local
201530,Local
201532,Local
201534,Local
201541,Local
201542,Local
201543,Local
201544,Local
201546,Local
201547,Local
201549,Local
201550,Local
201552,Local
201555,Regional
201559,Local
201560,Local
201569,Local
201573,Local
201574,Local
201575,Local
201578,Local
201580,Local
201584,Local
201585,Local
201587,Regional
201589,National
201590,Local
201593,Local
201595,Local
201596,Regional
201598,Regional
201600,Local
201602,Local
201603,Local
201606,National
201609,Local
201613,Local
201614,Local
201617,Local
201622,Local
201623,Local
201624,Local
201628,Local
201631,Local
201632,National
201635,Local
201636,Local
201637,Local
201640,Local
201641,Local
201643,Local
201644,Local
201645,National
201650,Local
201653,Regional
201654,Local
201655,Local
201658,Local
201659,Local
201662,Local
201663,Local
201664,Local
201665,Regional
201666,Local
201667,Local
201668,Local
201669,Local
201676,Local
201680,Local
201683,Local
201685,Local
201686,Local
201687,Local
201689,Local
201693,Local
201696,Local
201697,Local
201699,Local
201700,Local
201701,Local
201702,Local
201705,Local
201708,Local
201710,Local
201711,Local
201716,Local
201717,Local
201719,Local
201720,Regional
201723,Local
201727,Local
201730,Local
201731,Local
201734,Local
201735,Local
201736,Local
201737,Local
201740,Local
201742,Local
201746,National
201750,Local
201759,Local
201762,Local
201763,Local
201765,Local
201770,Local
201772,Local
201773,Local
201774,Local
201775,Local
201777,Local
201782,Local
201783,Local
201785,National
201786,Local
201787,Local
201789,Regional
201790,Local
201793,Local
201794,National
201795,Local
201797,National
201798,Local
201800,Local
201805,Local
201808,Local
201809,Local
201810,Local
201811,Local
201815,National
201816,Regional
201818,Regional
201826,Local
201829,Local
201835,Regional
201836,Local
201840,Local
201845,Local
201846,Local
201847,Local
201848,Local
201849,Local
201850,Local
201851,Local
201852,Local
201855,National
201856,Local
201859,Local
201860,Regional
201861,Local
201865,Local
201868,Local
201871,Regional
201873,Local
201876,Local
201878,Regional
