Type,Entity,Company Number,OSCAR CPID
Academy Trust,Bodriggy Academy,07548794,CAD022
Academy Trust,Bohunt Education Trust,07535642,CAD022
Academy Trust,"Bolsover School Academy Trust, The",07913309,CAD022
Academy Trust,Bolton Brow Primary Academy,07731186,CAD022
Academy Trust,Bolton St Catherine's Academy,06929082,CAD022
Academy Trust,Bolton UTC,08292380,CAD022
Academy Trust,Borden Grammar School Trust,07827591,CAD022
Academy Trust,The Holy Spirit Catholic Multi Academy Company,09432692,CAD022
Academy Trust,Boston Grammar School,08314056,CAD022
Academy Trust,Boston High School,08314283,CAD022
Academy Trust,Voyage Education Partnership,08158309,CAD022
Academy Trust,The Chelmsford Learning Partnership,07907388,CAD022
Academy Trust,Life Multi-academy Trust,07992438,CAD022
Academy Trust,Bottesford Church of England Primary School Trust,08259654,CAD022
Academy Trust,Anglian Learning,07564749,CAD022
Academy Trust,Boughton Primary School Trust,08132405,CAD022
Academy Trust,The Boulevard Academy Trust,08174233,CAD022
Academy Trust,Bourn Church of England Primary Academy,07807218,CAD022
Academy Trust,The Bourne Academy,07148158,CAD022
Academy Trust,Bourne Education Trust,07768726,CAD022
Academy Trust,Bourne Grammar School,07850292,CAD022
Academy Trust,South Lincolnshire Academies Trust,07559187,CAD022
Academy Trust,Keystone Academy Trust,07788995,CAD022
Academy Trust,Bournemouth Primary MAT,09754024,CAD022
Academy Trust,Bournemouth School,07745881,CAD022
Academy Trust,Bournemouth School for Girls,07703931,CAD022
Academy Trust,Campfire Education Trust,07867334,CAD022
Academy Trust,Bourton-on-the-Water Primary Academy,08321599,CAD022
Academy Trust,Bovingdon Primary Academy,07620904,CAD022
Academy Trust,Bower Park Academy,08351272,CAD022
Academy Trust,Achievement Through Collaboration Trust,07678864,CAD022
Academy Trust,Bracebridge Infant and Nursery School Ltd,08305764,CAD022
Academy Trust,Bradfield School,08265058,CAD022
Academy Trust,Fortis Trust,08899707,CAD022
Academy Trust,Bradford College Education Trust,06772181,CAD022
Academy Trust,Holbrook Academy,07654882,CAD022
Academy Trust,Bradford Diocesan Academies Trust,08258994,CAD022
Academy Trust,Bradford Girls' Grammar School Trust,07951118,CAD022
Academy Trust,Bradshaw Primary School (with Academy Status),07988495,CAD022
Academy Trust,Bradworthy Primary Academy,07530497,CAD022
Academy Trust,Brambleside Academy Trust,09212934,CAD022
Academy Trust,Brampton Manor Trust,07540236,CAD022
Academy Trust,BRandH Academy Limited,07698718,CAD022
Academy Trust,Bridgewater High School,09286883,CAD022
Academy Trust,Trusted Schools' Partnership,09617166,CAD022
Academy Trust,Brighter Futures Learning Partnership Trust,07939747,CAD022
Academy Trust,Buckden Church of England Primary Academy,07708603,CAD022
Academy Trust,Brentside Primary Academy,08441848,CAD022
Academy Trust,Bridgnorth Endowed School,08296889,CAD022
Academy Trust,Bridgwater & Taunton College Trust,08098956,CAD022
Academy Trust,Academy 360,06269025,CAD022
Academy Trust,Brigantia Learning Trust Limited,08506178,CAD022
Academy Trust,Richard Hale School,08572898,CAD022
Academy Trust,Bright Tribe Trust,08144578,CAD022
Academy Trust,Brighter Academy Trust,08557883,CAD022
Academy Trust,Brighter Futures Academy Trust,08175471,CAD022
Academy Trust,Brighton Aldridge Community Academy,06741989,CAD022
Academy Trust,The Key Educational Trust,07702211,CAD022
Academy Trust,Brill Church of England School,08436371,CAD022
Academy Trust,Francis Askew Primary School,08684162,CAD022
Academy Trust,Brunel Primary & Nursery Academy,07701928,CAD022
Academy Trust,Bude Park Primary School,08411946,CAD022
Academy Trust,Bulwell Academy Trust,06194070,CAD022
Academy Trust,Marches Academy Trust,07680422,CAD022
Academy Trust,Old Basford School,08168813,CAD022
Academy Trust,Burghill Community Academy,08472117,CAD022
Academy Trust,Manchester Collegiate Education Trust,07744158,CAD022
Academy Trust,Burnage Academy for Boys,08921898,CAD022
Academy Trust,The Good Shepherd Trust,08366199,CAD022
Academy Trust,Widewell Primary Academy,08330578,CAD022
Academy Trust,Bury College Education Trust,08769073,CAD022
Academy Trust,Bury St Edmunds Academy Trust,07697600,CAD022
Academy Trust,Bushey St James Trust,07895684,CAD022
Academy Trust,Newton Academy Trust,06477646,CAD022
Academy Trust,St Christopher's C of E (Secondary) Multi Academy Trust,08486531,CAD022
Academy Trust,Caistor Grammar School,07330058,CAD022
Academy Trust,Caistor Yarborough Academy Limited,07680513,CAD022
Academy Trust,Harpenden Free School Limited,07649122,CAD022
Academy Trust,Ambitious about Autism Schools Trust,08335297,CAD022
Academy Trust,Callington Community College,07559238,CAD022
Academy Trust,Penwortham Priory Academy Trust,08133703,CAD022
Academy Trust,Thrive Education Partnership,09064864,CAD022
Academy Trust,Campion Academy Trust,07848338,CAD022
Academy Trust,The Campion School,07693827,CAD022
Academy Trust,Leger Education Trust,07736364,CAD022
Academy Trust,Avishayes Primary School and Early Years Centre,07695401,CAD022
Academy Trust,Cams Hill School,07751232,CAD022
Academy Trust,Canary Wharf College Ltd,07413883,CAD022
Academy Trust,Cannock Chase High School,07727974,CAD022
Academy Trust,Canon Pyon CE Academy,08337745,CAD022
Academy Trust,The Academy of Central Bedfordshire,07948348,CAD022
Academy Trust,Chesterfield High School,07761675,CAD022
Academy Trust,Canons High School,07694362,CAD022
Academy Trust,The Canterbury Academy,07345430,CAD022
Academy Trust,The Capital City Academy Trust,04268208,CAD022
Academy Trust,Sutton Park Primary School,08426042,CAD022
Academy Trust,Harborne Academy,07310176,CAD022
Academy Trust,Spires Academy,06207067,CAD022
Academy Trust,The Cardinal Hume Academies Trust,08148675,CAD022
Academy Trust,Sandhill Multi Academy Trust,08745045,CAD022
Academy Trust,The Cardinal Vaughan Memorial School,09482572,CAD022
Academy Trust,Greater Nottingham Education Trust,07539214,CAD022
Academy Trust,Bishop Hogarth Catholic Education Trust,07808732,CAD022
Academy Trust,Bristol Free School Trust,07474359,CAD022
Academy Trust,Henry Hinde School,07988497,CAD022
Academy Trust,Carmountside Primary Academy,08170071,CAD022
Academy Trust,Discovery Educational Trust,07638800,CAD022
Academy Trust,The Learning for Life Partnership,09675372,CAD022
Academy Trust,"Carshalton Girls Educational Trust, The",07635770,CAD022
Academy Trust,Cartmel Priory Church of England School Academy Trust,07740632,CAD022
Academy Trust,IRIS Academies Trust,09050751,CAD022
Academy Trust,John Masefield High School and Sixth Form Centre,07631985,CAD022
Academy Trust,Castle Carrock School,07729759,CAD022
Academy Trust,Castle Donington College,08203218,CAD022
Academy Trust,Castle Hall Academy Trust,07726907,CAD022
Academy Trust,Castle Hill Academies Trust,09332834,CAD022
Academy Trust,The Shropshire Gateway Educational Trust,09115941,CAD022
Academy Trust,"Castle Partnership Academy Trust, The",08066451,CAD022
Academy Trust,Horncastle Education Trust,08175402,CAD022
Academy Trust,The Good Shepherd Catholic Trust,07696155,CAD022
Academy Trust,The Castle Partnership Trust,07657731,CAD022
Academy Trust,Castle Phoenix Trust,08331385,CAD022
Academy Trust,"Academy of Lincoln Trust, The",07557670,CAD022
Academy Trust,Seckford Education Trust,08077362,CAD022
Academy Trust,Greater Manchester Academies Trust,06754335,CAD022
Academy Trust,Apollo Partnership Trust,08114513,CAD022
Academy Trust,Castle School Education Trust,08397975,CAD022
Academy Trust,Castle Trust,08850163,CAD022
Academy Trust,Castle View Enterprise Academy,06268570,CAD022
Academy Trust,The Elizabethan Academy Trust,07964360,CAD022
Academy Trust,Newman Catholic Academy Trust,07714121,CAD022
Academy Trust,The Catholic Academy Trust in South Hampshire,07723349,CAD022
Academy Trust,The Cavendish High Academy,08789220,CAD022
Academy Trust,Woodard Academies Trust,06415729,CAD022
Academy Trust,Cavendish Learning Trust,07935515,CAD022
Academy Trust,The Cedars Academy Trust,08168042,CAD022
Academy Trust,Great Smeaton Academy Primary School,07730938,CAD022
Academy Trust,Cedars Upper School,07720110,CAD022
Academy Trust,Central Bedfordshire UTC Trust Limited,07651573,CAD022
Academy Trust,The Academy of Woodlands,08444770,CAD022
Academy Trust,Central Learning Partnership Trust,07827368,CAD022
Academy Trust,CET Primary Schools,07650208,CAD022
Academy Trust,Rydens Enterprise School and Sixth Form College,07692414,CAD022
Academy Trust,Anthem Schools Trust,07468210,CAD022
Academy Trust,Chadsmead Primary Academy,07698442,CAD022
Academy Trust,Chadwell Heath Academy,07346826,CAD022
Academy Trust,"Chafford School Academy Trust, the",08615792,CAD022
Academy Trust,Chalfont Saint Peter Church of England Academy,07586346,CAD022
Academy Trust,Lindley Church of England Infant School,09058698,CAD022
Academy Trust,Dr Challoner's Grammar School,07451811,CAD022
Academy Trust,The Challenger Multi Academy Trust,09270040,CAD022
Academy Trust,The Newman Catholic Collegiate,08550110,CAD022
Academy Trust,Chancery Education Trust,07671255,CAD022
Academy Trust,Chandlers Ridge Academy,08149765,CAD022
Academy Trust,Farndon Fields Academy,08055011,CAD022
Academy Trust,Change Schools Partnership,08182064,CAD022
Academy Trust,Channeling Positivity,09017575,CAD022
Academy Trust,The Chantry School,07657852,CAD022
Academy Trust,Chapel Street Community Schools Trust,07885963,CAD022
Academy Trust,Chapeltown Academy Limited,08264865,CAD022
Academy Trust,Charles Darwin Academy Trust,07554396,CAD022
Academy Trust,Aylesbury Grammar School,07538386,CAD022
Academy Trust,Charville Academy,08451827,CAD022
Academy Trust,Our Lady of Light Catholic Academy Trust,09676023,CAD022
Academy Trust,The Chase School,07800306,CAD022
Academy Trust,Chatham & Clarendon Grammar School,07455452,CAD022
Academy Trust,Newquay Junior Academy,07440047,CAD022
Academy Trust,Chatham Grammar School for Boys Trust,07535073,CAD022
Academy Trust,The Pioneer Academy,07691324,CAD022
Academy Trust,The Elliot Foundation Academies Trust,08116706,CAD022
Academy Trust,Chatham Grammar School for Girls,07710807,CAD022
Academy Trust,Character Education Trust,07662701,CAD022
Academy Trust,Chauncy School,07694228,CAD022
Academy Trust,Marlowe Academy,04915796,CAD022
Academy Trust,The Cheadle Academy,07694080,CAD022
Academy Trust,Cheam Academies Network,07588097,CAD022
Academy Trust,Cheam Park Farm Infants School,08661374,CAD022
Academy Trust,Stockland (C of E) Primary Academy Trust Limited,07717215,CAD022
Academy Trust,Community Schools Alliance Trust,08319810,CAD022
Academy Trust,Castle Community Trust,07344616,CAD022
Academy Trust,Inspiring Futures Partnership Trust,07977442,CAD022
Academy Trust,The Rainbow Multi Academy Trust,08909269,CAD022
Academy Trust,Cherry Tree Academy Trust Marham,09106277,CAD022
Academy Trust,Red Kite Schools Trust,07697482,CAD022
Academy Trust,Goole Academy Community Trust,07698343,CAD022
Academy Trust,The Chester Catholic Academies Partnership,08375925,CAD022
Academy Trust,Inspire Partnership Multi Academy Trust,07805262,CAD022
Academy Trust,Chester Diocesan Academies Trust,08451787,CAD022
Academy Trust,Collective Vision Trust,08786812,CAD022
Academy Trust,Foxwood Academy,08151281,CAD022
Academy Trust,Christ Church C of E Primary School,08082405,CAD022
Academy Trust,Cambridgeshire Educational Trust,07665396,CAD022
Academy Trust,Royal Wootton Bassett Academy Trust,07569743,CAD022
Academy Trust,Wandle Learning Trust,07655651,CAD022
Academy Trust,Chetwynde School Limited,08963816,CAD022
Academy Trust,Bordesley Multi-Academy Trust,07704968,CAD022
Academy Trust,Burton Morewood Church of England Primary School,07788628,CAD022
Academy Trust,Chickerell Primary Academy,08311200,CAD022
Academy Trust,Academy Transformation Trust,07846852,CAD022
Academy Trust,The Aylesbury Vale Academy,06745367,CAD022
Academy Trust,Creative Children's Academy Trust,09061804,CAD022
Academy Trust,Chilford Hundred Education Trust,07482650,CAD022
Academy Trust,The Chiltern Hills Academy,07718351,CAD022
Academy Trust,Wimborne Academy Trust,09362004,CAD022
Academy Trust,Chiltern Learning Trust,07559901,CAD022
Academy Trust,Pace Academy Trust,08891864,CAD022
Academy Trust,The Gosforth Federated Academies Limited,07431423,CAD022
Academy Trust,Chipping Norton School Academy Trust,07929429,CAD022
Academy Trust,Chislehurst and Sidcup Grammar School,07654130,CAD022
Academy Trust,Chiswick School,07954211,CAD022
Academy Trust,Chobham School Academy (Stratford),06846720,CAD022
Academy Trust,Summit Learning Trust,07348167,CAD022
Academy Trust,Cholsey Primary Academy Trust,08722647,CAD022
Academy Trust,Piper Hill Learning Trust,09392787,CAD022
Academy Trust,Chosen Hill School,07550474,CAD022
Academy Trust,Christ Church C of E Primary School (Cheltenham),08248966,CAD022
Academy Trust,Chess Valley Primary Learning Trust,08240619,CAD022
Academy Trust,Heston Community Academy Trust,07964015,CAD022
Academy Trust,"Christ Church Church of England Junior School, Ramsgate",08574692,CAD022
Academy Trust,"Christ Church Church of England Primary Academy, Folkestone",08347877,CAD022
Academy Trust,Rainbow Schools Trust,07471734,CAD022
Academy Trust,Christopher Pickering Primary School,09349525,CAD022
Academy Trust,Plymstock School,07557886,CAD022
Academy Trust,London South East Academies Trust,09028122,CAD022
Academy Trust,Christopher Whitehead Language College,07634426,CAD022
Academy Trust,Whickham School and Sports College,07729766,CAD022
Academy Trust,Churston Ferrers Grammar School,07447459,CAD022
Academy Trust,Ryders Hayes Academy Trust,07501579,CAD022
Academy Trust,Cidari Education Limited,08822760,CAD022
Academy Trust,Blackbird Academy Trust,08544741,CAD022
Academy Trust,King Edward VI Sheldon Heath Academy,07002160,CAD022
Academy Trust,The Sigma Trust,07926573,CAD022
Academy Trust,Chrysalis Multi Academy Trust,07557868,CAD022
Academy Trust,Clayton-le-Moors All Saints' Church of England Primary School,07770605,CAD022
Academy Trust,Cleeve Primary School,08775910,CAD022
Academy Trust,Cleeve School,07633215,CAD022
Academy Trust,Clevedon Learning Trust,07872799,CAD022
Academy Trust,Cleves Academy Trust,07403271,CAD022
Academy Trust,London Academy of Excellence Tottenham,08291601,CAD022
Academy Trust,Cleves Cross Learning Trust,08718104,CAD022
Academy Trust,Cockburn Multi Academy Trust,09946495,CAD022
Academy Trust,Cockermouth School Academy,09679536,CAD022
Academy Trust,Reddish Vale Academy Trust,07890769,CAD022
Academy Trust,Cockington Primary School Academy Trust,08578797,CAD022
Academy Trust,Castle View School Academy Trust,09146848,CAD022
Academy Trust,Colchester Academy,07335838,CAD022
Academy Trust,Eastern Multi-academy Trust,07338780,CAD022
Academy Trust,Christ's College Finchley,07714167,CAD022
Academy Trust,Alpha Trust,07755713,CAD022
Academy Trust,Hinckley Academy and John Cleveland Sixth Form Centre,09318755,CAD022
Academy Trust,Applecroft School,07917745,CAD022
Academy Trust,Collective Spirit Oldham,08178309,CAD022
Academy Trust,Teddington School,08130502,CAD022
Academy Trust,Queen Elizabeth's School (Wimborne Minster),08696394,CAD022
Academy Trust,The Perins MAT,07699705,CAD022
Academy Trust,Netheravon All Saints Academy Trust,08929419,CAD022
Academy Trust,Venturers Trust,06511936,CAD022
Academy Trust,Colyton Grammar School Academy Trust,07445493,CAD022
