URN,EstablishmentName,charity_number,company_number,charity_name,active
101074,Broomwood Hall School,,,,True
101075,The Roche School,,,,True
101076,Finton House School,296588,02119682,,True
101078,Hornsby House School,800284,02270044,,True
101079,Bertrum House School,,,,False
101080,Eveline Day School,,,,True
101081,Prospect House School,,,,True
101082,Newton Preparatory School,,,,True
101083,Bright Horizon Preparatory School,,,,False
101084,Dolphin School (Incorporating Noahs Ark Nursery Schools),1145113,04479890,,True
101085,South London Montessori School,,,,False
101086,Hall School Wimbledon,,11541475,,True
101087,Hurlingham Nursery and Pre Prep,,,,False
101088,Eaton House the Manor School,,,,True
101089,Northcote Lodge School,,,,True
101090,Al Risalah Secondary School,,,,True
101091,Parkgate House School,,,,True
101092,ADT College,,,,False
101156,Arnold House School,312725,00889424,,True
101157,"Queen's College, London",312726,,,True
101158,Francis Holland School,,,,True
101159,Westminster Abbey Choir School,,,,True
101160,Eaton House School,,,,True
101161,Francis Holland School,,,,True
101162,Westminster School,,,,True
101163,The Hampshire School Chelsea,,,,True
101164,Connaught House School,307964,,,True
101165,Westminster Under School,,,,True
101166,Westminster Cathedral Choir School,1063761,,,True
101167,McCaffrey's School,,,,False
101168,The American School in London,312738,00784923,,True
101169,Saint Christina's School,,,,True
101170,The Urdang Academy,,,,False
101171,International Community School,,08441252,,True
101172,Sylvia Young Theatre School,,,,True
101174,St John's Wood Pre-Preparatory School,,,,True
101176,Naima Jewish Preparatory School,,,,True
101177,Abercorn School,,03930321,,True
101178,Eaton Square School,,09637548,,True
101179,The Hampshire School,,,,False
101180,Ravenstone House,,,,False
101181,Bales College,,,,True
101367,Mill Hill School Foundation,1064758,03404450,,True
101368,Hendon Preparatory School,279645,02313425,,True
101369,The King Alfred School,,,,True
101370,Lyonsdown School,312591,01125436,,True
101371,Mill Hill School,310034,,,False
101372,The Mount School,,,,False
101373,St Martha's Junior School,,,,False
101374,Mount House School,270147,01224029,,True
101375,Annemount School,,,,True
101377,Golders Hill School,,,,True
101378,Goodwyn School,,,,True
101379,Hasmonean Preparatory School,,,,False
101380,Holland House School,267174,01164455,,True
