company_number,charity_number
CE008892,1171266
CE002253,1157790
CE012946,1176698
CE003878,1161237
CE002889,1160215
CE010438,1171830
CE015785,1180964
CE000683,1155406
CE004710,1163593
CE007500,1167621
CE006617,1166959
CE000784,1155721
CE002014,1157248
CE014282,1178619
CE006504,1166755
CE006313,1167053
CE010343,1171691
CE015848,1181069
CE003344,1159389
CE005045,1162686
CE004739,1163651
CE003385,1161872
CE009823,1172403
CE012380,1174905
CE011127,1173538
CE015711,1180863
CE002672,1160512
CE006240,1166535
CE009350,1170705
CE014261,1178591
CE013056,1176867
CE008589,1168834
CE006526,1166796
CE003017,1160474
CE002458,1159585
CE012643,1176247
CE005526,1164222
CE009432,1170824
CE004934,1162493
CE001952,1157108
CE012651,1176260
CE001468,1154842
CE012110,1174494
CE007874,1169251
CE007394,1167453
CE011272,1173758
CE011989,1175578
CE014863,1179535
CE014523,1178746
CE014129,1178432
CE013810,1177968
CE012739,1176381
CE002062,1157358
CE010711,1174151
CE015566,1180607
CE011079,1173450
CE012831,1176521
CE001981,1157192
CE010607,1172113
CE005092,1162768
CE010076,1172615
CE014218,1178532
CE007551,1167708
CE015185,1180024
CE006608,1166946
CE006348,1167108
CE015699,1180844
CE012671,1176285
CE002395,1158120
CE006176,1166439
CE011538,1175063
CE016034,1181333
CE014159,1178475
CE015847,1181067
CE011672,1175662
CE009843,1172436
CE008097,1169627
CE015614,1180701
CE005958,1165022
CE004018,1161477
CE011743,1175766
CE014612,1179158
CE014463,1178985
CE006346,1167105
CE015888,1181134
CE011953,1175521
CE015729,1180888
CE013594,1177643
CE014584,1179104
CE010895,1173151
CE007212,1168563
CE005593,1164342
CE013095,1176932
CE006146,1166386
CE004662,1163518
CE009289,1170606
CE015541,1180572
CE010280,1171590
CE009855,1172453
CE000599,1152989
CE015663,1180775
CE014267,1178598
CE004626,1163451
CE001667,1158322
CE015895,1181145
CE009263,1170568
CE013509,1177514
CE000723,1155538
CE004787,1163739
CE010001,1173056
CE009868,1172475
CE002986,1160405
CE002959,1160359
CE003307,1159323
CE013623,1177686
CE002144,1157548
CE000846,1155866
CE003885,1161246
CE010413,1171791
CE000531,1152653
CE015363,1180295
CE008655,1168935
CE002302,1157909
CE013871,1178055
