RP Code,Company Number,Charity Number,Org ID
C4110,IP28428R,,GB-COH-IP28428R
4719,07825886,1154280,GB-CHC-1154280
4733,08083935,,GB-COH-08083935
A4196,,1015943,GB-CHC-1015943
A4038,,212834,GB-CHC-212834
17UC,,,GB-LAE-BOS
4568,RS007684,,GB-COH-RS007684
C3745,IP25801R,,GB-COH-IP25801R
C2788,IP22285R,,GB-COH-IP22285R
A4257,,243630,GB-CHC-243630
C3446,IP24120R,,GB-COH-IP24120R
L1002,IP19342R,,GB-COH-IP19342R
L0528,IP15920R,,GB-COH-IP15920R
LH0155,IP18497R,,GB-COH-IP18497R
H4246,03817056,1078728,GB-CHC-1078728
5069,,,GB-LAE-BPC
L0702,,219260,GB-CHC-219260
C1853,IP07226R,,GB-COH-IP07226R
L0302,IP15799R,,GB-COH-IP15799R
LH3887,IP26751R,,GB-COH-IP26751R
4860,01088965,503434,GB-CHC-503434
5132,12590273,1191575,GB-CHC-1191575
A3768,,517534,GB-CHC-517534
A0644,,230855,GB-CHC-230855
C3185,IP22481R,,GB-COH-IP22481R
L1007,IP16523R,,GB-COH-IP16523R
C4379,IP29317R,,GB-COH-IP29317R
4748,IP23652R,,GB-COH-IP23652R
22UD,,,GB-LAE-BRW
L1257,IP17727R,,GB-COH-IP17727R
L3921,02001246,299400,GB-CHC-299400
4736,07941530,1146838,GB-CHC-1146838
H4245,03746771,1076434,GB-CHC-1076434
H4315,IP21244R,,GB-COH-IP21244R
L3758,IP25495R,,GB-COH-IP25495R
A1614,,212270,GB-CHC-212270
00ML,,,GB-LAE-BNH
L0449,IP18784R,,GB-COH-IP18784R
C3638,IP22955R,,GB-COH-IP22955R
L0690,IP15926R,,GB-COH-IP15926R
H3835,02329407,800987,GB-CHC-800987
A4256,08272108,1075673,GB-CHC-1075673
00HB,,,GB-LAE-BST
4801,IP031243,,GB-COH-IP031243
L1990,IP21127R,,GB-COH-IP21127R
C2576,IP21766R,,GB-COH-IP21766R
LH4014,IP27656R,,GB-COH-IP27656R
L4218,03685650,1074954,GB-CHC-1074954
L0026,IP16274R,,GB-COH-IP16274R
5105,11940146,,GB-COH-11940146
C2430,IP21635R,,GB-COH-IP21635R
L4450,IP29991R,,GB-COH-IP29991R
4819,RS007106,,GB-COH-RS007106
L4449,IP29996R,,GB-COH-IP29996R
5139,03320296,1068007,GB-CHC-1068007
A0352,,210337,GB-CHC-210337
LH4415,04603611,1111423,GB-CHC-1111423
A1067,,206136,GB-CHC-206136
C3718,IP24856R,,GB-COH-IP24856R
37UD,,,GB-LAE-BRT
LH0269,00601847,201555,GB-CHC-201555
A2722,,213407,GB-CHC-213407
L2007,IP12653R,,GB-COH-IP12653R
A0752,,203155,GB-CHC-203155
00BM,,,GB-LAE-BUR
4881,,1174921,GB-CHC-1174921
A3163,,226853,GB-CHC-226853
