org_id_a,org_id_b,name
GB-SC-SC002750,GB-COH-SC007335,"QUEEN MARGARET UNIVERSITY, EDINBURGH"
GB-SC-SC002793,GB-COH-SC131411,POLLOKSHIELDS BURGH HALL TRUST LIMITED
GB-SC-SC002848,GB-COH-SC123773,FIREFLY ARTS LIMITED
GB-SC-SC002849,GB-COH-SC109193,CAITHNESS CITIZENS ADVICE BUREAU
GB-SC-SC002940,GB-COH-SC078229,FIFE (DUNFERMLINE) PRINT WORKSHOP LIMITED
GB-SC-SC002982,GB-COH-SC288686,ORKNEY WIRELESS MUSEUM
GB-SC-SC002995,GB-COH-SC046605,EDINBURGH FESTIVAL FRINGE SOCIETY LIMITED
GB-SC-SC003072,GB-COH-SC096025,ONE WORLD SHOP
GB-SC-SC003076,GB-COH-SC137419,SIMON COMMUNITY SCOTLAND
GB-SC-SC003095,GB-COH-SC302084,PARENT TO PARENT LIMITED
GB-SC-SC003139,GB-COH-SC111258,PERTH AND KINROSS HERITAGE TRUST
GB-SC-SC003147,GB-COH-SC071075,ERIC LIDDELL COMMUNITY
GB-SC-SC003159,GB-COH-SC116745,ELCAP
GB-SC-SC003198,GB-COH-SC105400,CENTRED (SCOTLAND)
GB-SC-SC003214,GB-COH-SC365498,RUTHERGLEN AND CAMBUSLANG CITIZENS ADVICE BUREAU
GB-SC-SC003220,GB-COH-SC103792,TIGH A' CHOMAINN CAMPHILL LIMITED
GB-SC-SC003259,GB-COH-SC153915,PERTH CITIZENS ADVICE BUREAU
GB-SC-SC003287,GB-COH-SC091075,AN LANNTAIR LIMITED
GB-SC-SC003334,GB-COH-SC365231,RADIO CLYDE CASH FOR KIDS
GB-SC-SC003353,GB-COH-SC207455,PILTON YOUTH & CHILDREN'S PROJECT
GB-SC-SC003453,GB-COH-SC112361,HOMELESS NETWORK SCOTLAND
GB-SC-SC003460,GB-COH-SC337911,THE REIDVALE NEIGHBOURHOOD CENTRE
GB-SC-SC003486,GB-COH-SC357590,NORTH AYRSHIRE WOMEN'S AID
GB-SC-SC003500,GB-COH-SC105891,COMMUNITY CENTRAL HALL
GB-SC-SC003525,GB-COH-SC014648,EDINBURGH SOCIETY OF MUSICIANS LIMITED
GB-SC-SC003527,GB-COH-SC083383,CHILDREN IN SCOTLAND LTD
