org_id_a,company_number,charity_number,org_id_b,relationship,source,sameas,Registered housing providers
GB-SHPE-C3115,IP22252R,,GB-COH-IP22252R,sameas,Registered housing providers
GB-SHPE-4726,07916785,,GB-COH-07916785,sameas,Registered housing providers
GB-SHPE-45UC,,,GB-LAE-ARU,sameas,Registered housing providers
GB-SHPE-C3379,IP23862R,,GB-COH-IP23862R,sameas,Registered housing providers
GB-SHPE-4724,OC358082,,GB-COH-OC358082,sameas,Registered housing providers
GB-SHPE-4856,09278078,,GB-COH-09278078,sameas,Registered housing providers
GB-SHPE-A3257,,1074650,GB-CHC-1074650,sameas,Registered housing providers
GB-SHPE-37UB,,,GB-LAE-ASH,sameas,Registered housing providers
GB-SHPE-29UB,,,GB-LAE-ASF,sameas,Registered housing providers
GB-SHPE-C4133,IP28536R,,GB-COH-IP28536R,sameas,Registered housing providers
GB-SHPE-4716,06630015,,GB-COH-06630015,sameas,Registered housing providers
GB-SHPE-C3843,IP25805R,,GB-COH-IP25805R,sameas,Registered housing providers
GB-SHPE-L4199,RS007660,,GB-COH-RS007660,sameas,Registered housing providers
GB-SHPE-L4238,IP031218,,GB-COH-IP031218,sameas,Registered housing providers
GB-SHPE-4731,06736807,,GB-COH-06736807,sameas,Registered housing providers
GB-SHPE-4872,RS007605,,GB-COH-RS007605,sameas,Registered housing providers
GB-SHPE-4691,IP031530,,GB-COH-IP031530,sameas,Registered housing providers
GB-SHPE-L4393,IP29573R,,GB-COH-IP29573R,sameas,Registered housing providers
GB-SHPE-A3910,,249812,GB-CHC-249812,sameas,Registered housing providers
GB-SHPE-LH1396,00247685,208155,GB-CHC-208155,sameas,Registered housing providers
GB-SHPE-C3299,IP23769R,,GB-COH-IP23769R,sameas,Registered housing providers
GB-SHPE-4690,07345564,,GB-COH-07345564,sameas,Registered housing providers
GB-SHPE-4765,07451258,,GB-COH-07451258,sameas,Registered housing providers
GB-SHPE-4664,07422670,,GB-COH-07422670,sameas,Registered housing providers
GB-SHPE-5153,09734876,,GB-COH-09734876,sameas,Registered housing providers
GB-SHPE-A0211,,200230,GB-CHC-200230,sameas,Registered housing providers
