org_id_a,org_id_b,org_name,relationship,source
GB-CHC-1054184,GB-COH-09204944,THE HISTORICAL DIVING SOCIETY,sameas,"Company Numbers for Charities"
GB-CHC-1054399,GB-COH-08326749,NOTTING HILL COMMUNITY CHURCH,sameas,"Company Numbers for Charities"
GB-CHC-1055303,GB-COH-07494182,VICTORY GOSPEL CHURCH,sameas,"Company Numbers for Charities"
GB-CHC-1055359,GB-COH-08322665,CYLCH MEITHRIN TREFEURIG,sameas,"Company Numbers for Charities"
GB-CHC-1056589,GB-COH-05477337,THE PRAYER AND PROPHETIC CENTRE LTD,sameas,"Company Numbers for Charities"
GB-CHC-1056843,GB-COH-02983401,THE SOUTHPORT PIER TRUST LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1058003,GB-COH-06402176,THE OPEN DOOR (TAUNTON),sameas,"Company Numbers for Charities"
GB-CHC-1058760,GB-COH-07633357,AYLESBURY HIGH SCHOOL,sameas,"Company Numbers for Charities"
GB-CHC-1059044,GB-COH-10922760,NORTH NORTHUMBERLAND VOLUNTARY FORUM,sameas,"Company Numbers for Charities"
GB-CHC-1060145,GB-COH-03289045,DETENTION ADVICE SERVICE,sameas,"Company Numbers for Charities"
GB-CHC-1060927,GB-COH-09608573,SHOPMOBILITY STOCKPORT,sameas,"Company Numbers for Charities"
GB-CHC-1061979,GB-COH-04258982,CALVARY CHAPEL WESTMINSTER LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1062195,GB-COH-08130713,BARNET AFRICAN CARIBBEAN ASSOCIATION LTD,sameas,"Company Numbers for Charities"
GB-CHC-1062390,GB-COH-05981181,KAIROS COMMUNITY TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1062568,GB-COH-04848315,REDWOOD PRE-SCHOOL,sameas,"Company Numbers for Charities"
GB-CHC-1062926,GB-COH-03315828,THE MAHARAJAH DULEEP SINGH PROJECT,sameas,"Company Numbers for Charities"
GB-CHC-1064021,GB-COH-07592624,YOUTH RESOURCE SERVICES (THE RENDEZVOUS SHERBORNE) LTD,sameas,"Company Numbers for Charities"
