org_id_a,org_id_b,org_name,relationship,source
GB-EDU-102044,GB-COH-07380398,KINGSMEAD SCHOOL,sameas,Organisation company numbers
GB-EDU-102059,GB-COH-07697044,ENFIELD GRAMMAR SCHOOL,sameas,Organisation company numbers
GB-EDU-102061,GB-COH-00537727,PALMERS GREEN HIGH SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-102169,GB-COH-01930737,NORTH LONDON RUDOLF STEINER SCHOOL,sameas,Organisation company numbers
GB-EDU-102235,GB-COH-07690395,HATCH END HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-102236,GB-COH-07689613,PARK HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-102237,GB-COH-07694362,CANONS HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-102238,GB-COH-07690023,NOWER HILL HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-102250,GB-COH-00455482,ALPHA PREPARATORY SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-102350,GB-COH-07693827,THE CAMPION SCHOOL,sameas,Organisation company numbers
GB-EDU-102353,GB-COH-07547060,THE COOPERS' COMPANY AND COBORN SCHOOL,sameas,Organisation company numbers
GB-EDU-102354,GB-COH-07693743,SACRED HEART OF MARY GIRLS' SCHOOL,sameas,Organisation company numbers
GB-EDU-102440,GB-COH-07799811,BISHOPSHALT SCHOOL,sameas,Organisation company numbers
GB-EDU-102441,GB-COH-07557791,HAYDON SCHOOL,sameas,Organisation company numbers
GB-EDU-102495,GB-COH-08520286,NORWOOD GREEN JUNIOR SCHOOL,sameas,Organisation company numbers
GB-EDU-102513,GB-COH-08523370,WESTBROOK PRIMARY SCHOOL,sameas,Organisation company numbers
GB-EDU-102536,GB-COH-08286030,BRENTFORD SCHOOL FOR GIRLS,sameas,Organisation company numbers
GB-EDU-102540,GB-COH-07559818,CRANFORD COMMUNITY COLLEGE,sameas,Organisation company numbers
GB-EDU-102541,GB-COH-07962216,ISLEWORTH AND SYON SCHOOL FOR BOYS,sameas,Organisation company numbers
GB-EDU-102601,GB-COH-07776910,SOUTHBOROUGH HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-102602,GB-COH-07538459,THE TIFFIN GIRLS' SCHOOL,sameas,Organisation company numbers
GB-EDU-102605,GB-COH-07547311,TIFFIN SCHOOL,sameas,Organisation company numbers
GB-EDU-102606,GB-COH-07718002,RICHARD CHALLONER SCHOOL,sameas,Organisation company numbers
GB-EDU-102607,GB-COH-07966826,THE HOLY CROSS SCHOOL,sameas,Organisation company numbers
GB-EDU-102615,GB-COH-05325717,MARYMOUNT INTERNATIONAL SCHOOL,sameas,Organisation company numbers
GB-EDU-102619,GB-COH-03883748,KINGSTON GRAMMAR SCHOOL,sameas,Organisation company numbers
