org_id_a,org_id_b,relationship,source
GB-COH-CE005056,GB-CHC-1162701,sameas,CIO Company Numbers
GB-COH-CE004963,GB-CHC-1162544,sameas,CIO Company Numbers
GB-COH-CE002525,GB-CHC-1159719,sameas,CIO Company Numbers
GB-COH-CE008719,GB-CHC-1169049,sameas,CIO Company Numbers
GB-COH-CE010196,GB-CHC-1172795,sameas,CIO Company Numbers
GB-COH-CE016006,GB-CHC-1181295,sameas,CIO Company Numbers
GB-COH-CE008567,GB-CHC-1168800,sameas,CIO Company Numbers
GB-COH-CE011408,GB-CHC-1173958,sameas,CIO Company Numbers
GB-COH-CE010942,GB-CHC-1173241,sameas,CIO Company Numbers
GB-COH-CE002432,GB-CHC-1159529,sameas,CIO Company Numbers
GB-COH-CE001441,GB-CHC-1154768,sameas,CIO Company Numbers
GB-COH-CE005468,GB-CHC-1164077,sameas,CIO Company Numbers
GB-COH-CE012000,GB-CHC-1175600,sameas,CIO Company Numbers
GB-COH-CE013720,GB-CHC-1177829,sameas,CIO Company Numbers
GB-COH-CE001635,GB-CHC-1158267,sameas,CIO Company Numbers
GB-COH-CE008648,GB-CHC-1168926,sameas,CIO Company Numbers
GB-COH-CE004770,GB-CHC-1163707,sameas,CIO Company Numbers
GB-COH-CE001033,GB-CHC-1156065,sameas,CIO Company Numbers
GB-COH-CE000743,GB-CHC-1155594,sameas,CIO Company Numbers
GB-COH-CE005740,GB-CHC-1164607,sameas,CIO Company Numbers
GB-COH-CE008687,GB-CHC-1168989,sameas,CIO Company Numbers
GB-COH-CE005242,GB-CHC-1165275,sameas,CIO Company Numbers
GB-COH-CE010450,GB-CHC-1171848,sameas,CIO Company Numbers
GB-COH-CE001640,GB-CHC-1158273,sameas,CIO Company Numbers
GB-COH-CE013615,GB-CHC-1177671,sameas,CIO Company Numbers
GB-COH-CE013563,GB-CHC-1177596,sameas,CIO Company Numbers
GB-COH-CE009945,GB-CHC-1172972,sameas,CIO Company Numbers
GB-COH-CE014589,GB-CHC-1179113,sameas,CIO Company Numbers
GB-COH-CE005808,GB-CHC-1164735,sameas,CIO Company Numbers
GB-COH-CE008114,GB-CHC-1170052,sameas,CIO Company Numbers
GB-COH-CE004765,GB-CHC-1163694,sameas,CIO Company Numbers
GB-COH-CE007269,GB-CHC-1167228,sameas,CIO Company Numbers
GB-COH-CE001006,GB-CHC-1155992,sameas,CIO Company Numbers
GB-COH-CE015639,GB-CHC-1180738,sameas,CIO Company Numbers
GB-COH-CE006100,GB-CHC-1166299,sameas,CIO Company Numbers
GB-COH-CE014294,GB-CHC-1178641,sameas,CIO Company Numbers
GB-COH-CE002861,GB-CHC-1160161,sameas,CIO Company Numbers
GB-COH-CE000174,GB-CHC-1153736,sameas,CIO Company Numbers
GB-COH-CE000032,GB-CHC-1153245,sameas,CIO Company Numbers
GB-COH-CE015678,GB-CHC-1180808,sameas,CIO Company Numbers
GB-COH-CE013741,GB-CHC-1177865,sameas,CIO Company Numbers
GB-COH-CE013407,GB-CHC-1177367,sameas,CIO Company Numbers
GB-COH-CE004496,GB-CHC-1163865,sameas,CIO Company Numbers
GB-COH-CE015041,GB-CHC-1179788,sameas,CIO Company Numbers
GB-COH-CE012171,GB-CHC-1174586,sameas,CIO Company Numbers
GB-COH-CE008264,GB-CHC-1169708,sameas,CIO Company Numbers
GB-COH-CE002545,GB-CHC-1159765,sameas,CIO Company Numbers
GB-COH-CE003515,GB-CHC-1162103,sameas,CIO Company Numbers
GB-COH-CE003273,GB-CHC-1159238,sameas,CIO Company Numbers
GB-COH-CE007157,GB-CHC-1168472,sameas,CIO Company Numbers
GB-COH-CE014616,GB-CHC-1179164,sameas,CIO Company Numbers
GB-COH-CE008260,GB-CHC-1169703,sameas,CIO Company Numbers
GB-COH-CE001183,GB-CHC-1156463,sameas,CIO Company Numbers
GB-COH-CE009985,GB-CHC-1173032,sameas,CIO Company Numbers
GB-COH-CE001080,GB-CHC-1156186,sameas,CIO Company Numbers
GB-COH-CE003613,GB-CHC-1162280,sameas,CIO Company Numbers
GB-COH-CE015734,GB-CHC-1180894,sameas,CIO Company Numbers
GB-COH-CE015670,GB-CHC-1180795,sameas,CIO Company Numbers
GB-COH-CE014852,GB-CHC-1179521,sameas,CIO Company Numbers
GB-COH-CE002633,GB-CHC-1159937,sameas,CIO Company Numbers
GB-COH-CE012716,GB-CHC-1176350,sameas,CIO Company Numbers
GB-COH-CE008880,GB-CHC-1171243,sameas,CIO Company Numbers
GB-COH-CE014366,GB-CHC-1178841,sameas,CIO Company Numbers
GB-COH-CE015635,GB-CHC-1180733,sameas,CIO Company Numbers
GB-COH-CE014036,GB-CHC-1178286,sameas,CIO Company Numbers
GB-COH-CE013820,GB-CHC-1177983,sameas,CIO Company Numbers
GB-COH-CE014890,GB-CHC-1179571,sameas,CIO Company Numbers
GB-COH-CE007289,GB-CHC-1167267,sameas,CIO Company Numbers
GB-COH-CE010436,GB-CHC-1171826,sameas,CIO Company Numbers
GB-COH-CE006338,GB-CHC-1167095,sameas,CIO Company Numbers
GB-COH-CE009576,GB-CHC-1171037,sameas,CIO Company Numbers
GB-COH-CE010532,GB-CHC-1171988,sameas,CIO Company Numbers
GB-COH-CE003253,GB-CHC-1159190,sameas,CIO Company Numbers
GB-COH-CE012920,GB-CHC-1176664,sameas,CIO Company Numbers
GB-COH-CE015999,GB-CHC-1181286,sameas,CIO Company Numbers
GB-COH-CE012347,GB-CHC-1174853,sameas,CIO Company Numbers
GB-COH-CE014368,GB-CHC-1178843,sameas,CIO Company Numbers
GB-COH-CE009308,GB-CHC-1170638,sameas,CIO Company Numbers
GB-COH-CE010397,GB-CHC-1171768,sameas,CIO Company Numbers
GB-COH-CE012121,GB-CHC-1174513,sameas,CIO Company Numbers
GB-COH-CE012756,GB-CHC-1176405,sameas,CIO Company Numbers
GB-COH-CE003196,GB-CHC-1159053,sameas,CIO Company Numbers
GB-COH-CE012538,GB-CHC-1176081,sameas,CIO Company Numbers
GB-COH-CE002759,GB-CHC-1160688,sameas,CIO Company Numbers
GB-COH-CE011066,GB-CHC-1173425,sameas,CIO Company Numbers
GB-COH-CE006955,GB-CHC-1166105,sameas,CIO Company Numbers
GB-COH-CE015136,GB-CHC-1179943,sameas,CIO Company Numbers
GB-COH-CE012584,GB-CHC-1176153,sameas,CIO Company Numbers
GB-COH-CE015557,GB-CHC-1180596,sameas,CIO Company Numbers
GB-COH-CE012731,GB-CHC-1176369,sameas,CIO Company Numbers
GB-COH-CE011351,GB-CHC-1173872,sameas,CIO Company Numbers
GB-COH-CE014410,GB-CHC-1178909,sameas,CIO Company Numbers
GB-COH-CE015445,GB-CHC-1180417,sameas,CIO Company Numbers
GB-COH-CE000195,GB-CHC-1153792,sameas,CIO Company Numbers
GB-COH-CE006995,GB-CHC-1166176,sameas,CIO Company Numbers
GB-COH-CE007229,GB-CHC-1168584,sameas,CIO Company Numbers
GB-COH-CE013797,GB-CHC-1177953,sameas,CIO Company Numbers
GB-COH-CE007942,GB-CHC-1169375,sameas,CIO Company Numbers
GB-COH-CE004410,GB-CHC-1163290,sameas,CIO Company Numbers
GB-COH-CE010805,GB-CHC-1174306,sameas,CIO Company Numbers
GB-COH-CE000590,GB-CHC-1152937,sameas,CIO Company Numbers
GB-COH-CE006449,GB-CHC-1166658,sameas,CIO Company Numbers
GB-COH-CE001624,GB-CHC-1158239,sameas,CIO Company Numbers
GB-COH-CE006108,GB-CHC-1166320,sameas,CIO Company Numbers
GB-COH-CE012398,GB-CHC-1175854,sameas,CIO Company Numbers
GB-COH-CE006820,GB-CHC-1165883,sameas,CIO Company Numbers
GB-COH-CE015141,GB-CHC-1179949,sameas,CIO Company Numbers
GB-COH-CE000509,GB-CHC-1152585,sameas,CIO Company Numbers
GB-COH-CE015745,GB-CHC-1180912,sameas,CIO Company Numbers
GB-COH-CE012157,GB-CHC-1174562,sameas,CIO Company Numbers
GB-COH-CE011184,GB-CHC-1173628,sameas,CIO Company Numbers
GB-COH-CE014411,GB-CHC-1178910,sameas,CIO Company Numbers
GB-COH-CE001545,GB-CHC-1155082,sameas,CIO Company Numbers
GB-COH-CE015628,GB-CHC-1180724,sameas,CIO Company Numbers
GB-COH-CE013183,GB-CHC-1177056,sameas,CIO Company Numbers
GB-COH-CE002926,GB-CHC-1160305,sameas,CIO Company Numbers
GB-COH-CE015812,GB-CHC-1181005,sameas,CIO Company Numbers
GB-COH-CE013766,GB-CHC-1177904,sameas,CIO Company Numbers
GB-COH-CE000248,GB-CHC-1153996,sameas,CIO Company Numbers
GB-COH-CE013929,GB-CHC-1178133,sameas,CIO Company Numbers
GB-COH-CE015932,GB-CHC-1181191,sameas,CIO Company Numbers
GB-COH-CE012502,GB-CHC-1176021,sameas,CIO Company Numbers
GB-COH-CE015906,GB-CHC-1181160,sameas,CIO Company Numbers
GB-COH-CE007649,GB-CHC-1167867,sameas,CIO Company Numbers
GB-COH-CE006590,GB-CHC-1166919,sameas,CIO Company Numbers
GB-COH-CE007132,GB-CHC-1168433,sameas,CIO Company Numbers
GB-COH-CE015719,GB-CHC-1180871,sameas,CIO Company Numbers
GB-COH-CE001874,GB-CHC-1156941,sameas,CIO Company Numbers
GB-COH-CE009871,GB-CHC-1172480,sameas,CIO Company Numbers
GB-COH-CE013980,GB-CHC-1178212,sameas,CIO Company Numbers
GB-COH-CE014662,GB-CHC-1179234,sameas,CIO Company Numbers
GB-COH-CE007480,GB-CHC-1167590,sameas,CIO Company Numbers
GB-COH-CE000551,GB-CHC-1152739,sameas,CIO Company Numbers
GB-COH-CE002874,GB-CHC-1160188,sameas,CIO Company Numbers
GB-COH-CE013759,GB-CHC-1177896,sameas,CIO Company Numbers
GB-COH-CE003602,GB-CHC-1162262,sameas,CIO Company Numbers
GB-COH-CE003685,GB-CHC-1160854,sameas,CIO Company Numbers
GB-COH-CE007692,GB-CHC-1167935,sameas,CIO Company Numbers
GB-COH-CE014950,GB-CHC-1179663,sameas,CIO Company Numbers
GB-COH-CE007220,GB-CHC-1168572,sameas,CIO Company Numbers
GB-COH-CE014546,GB-CHC-1179053,sameas,CIO Company Numbers
GB-COH-CE005698,GB-CHC-1164531,sameas,CIO Company Numbers
GB-COH-CE010133,GB-CHC-1172703,sameas,CIO Company Numbers
GB-COH-CE013259,GB-CHC-1177185,sameas,CIO Company Numbers
GB-COH-CE011897,GB-CHC-1175425,sameas,CIO Company Numbers
GB-COH-CE004791,GB-CHC-1163747,sameas,CIO Company Numbers
GB-COH-CE000561,GB-CHC-1152774,sameas,CIO Company Numbers
GB-COH-CE015758,GB-CHC-1180931,sameas,CIO Company Numbers
GB-COH-CE015808,GB-CHC-1181001,sameas,CIO Company Numbers
GB-COH-CE002354,GB-CHC-1158030,sameas,CIO Company Numbers
GB-COH-CE005966,GB-CHC-1165035,sameas,CIO Company Numbers
GB-COH-CE002979,GB-CHC-1160396,sameas,CIO Company Numbers
GB-COH-CE008790,GB-CHC-1169171,sameas,CIO Company Numbers
GB-COH-CE003991,GB-CHC-1161432,sameas,CIO Company Numbers
GB-COH-CE004461,GB-CHC-1163364,sameas,CIO Company Numbers
GB-COH-CE013024,GB-CHC-1176813,sameas,CIO Company Numbers
GB-COH-CE013069,GB-CHC-1176887,sameas,CIO Company Numbers
GB-COH-CE006831,GB-CHC-1165897,sameas,CIO Company Numbers
GB-COH-CE005324,GB-CHC-1165419,sameas,CIO Company Numbers
GB-COH-CE015860,GB-CHC-1181088,sameas,CIO Company Numbers
GB-COH-CE008637,GB-CHC-1168912,sameas,CIO Company Numbers
GB-COH-CE002778,GB-CHC-1159997,sameas,CIO Company Numbers
GB-COH-CE015795,GB-CHC-1180981,sameas,CIO Company Numbers
GB-COH-CE011879,GB-CHC-1175399,sameas,CIO Company Numbers
GB-COH-CE014484,GB-CHC-1178683,sameas,CIO Company Numbers
GB-COH-CE015241,GB-CHC-1180106,sameas,CIO Company Numbers
GB-COH-CE015743,GB-CHC-1180907,sameas,CIO Company Numbers
GB-COH-CE012486,GB-CHC-1175999,sameas,CIO Company Numbers
